pond,date,time,temp_c,do_perc,ph,orp,cond,turb,chla,nh4_mgl,no3_mgl,par,do_mgl,depth_m,notes
Boyce,08/14/23,12:22:13,23.43,135.6,8.94,59.7,35.7,5.6,62.5,0,0,2598.5,11.2,0.25,
Boyce,08/14/23,12:24:13,23.38,137.2,8.84,79.1,35.6,4.76,52.27,0.1,0,1612,11.34,0.5,
Boyce,08/14/23,12:27:01,22.46,130.3,8.45,100.4,34.9,5.79,114.68,0.1,0,460.8,10.95,0.75,
Boyce,08/14/23,12:29:01,22.18,124.4,7.7,123.9,33.8,6.73,189.5,0.1,0,152.1,10.51,1,
Boyce,08/14/23,12:39:42,22.01,84,6.48,207.7,33.9,9.92,214.81,0.1,0,164.8,7.12,1.25,
Boyce,08/14/23,12:44:58,21.52,26.2,6.06,220.2,34.1,6.84,160.67,0.1,0,51,2.25,1.5,
Boyce,08/14/23,12:48:08,21.09,4.6,5.95,219.3,39.5,12.08,120.75,0.1,0,2.8,0.4,1.75,
Boyce,08/14/23,12:49:40,19.85,1.4,5.97,5.6,81.2,43.15,85.5,0.2,0,-4,0.12,2,
Boyce,08/14/23,12:50:34,19.12,0.6,6.25,-65.7,179.9,23.48,38.98,0.2,0,-10.8,0.06,2.25,
Boyce,08/14/23,12:51:46,18.3,0.2,6.42,-104.6,230.6,20.71,33.62,0.5,0,-15,0.02,2.5,bottom
Edwards,08/15/23,14:24:55,23.32,83.9,7.45,114.5,438.8,-0.11,20.18,0.3,0.1,324.1,6.93,0.25,
Edwards,08/15/23,14:25:45,23.32,83.4,7.45,115.8,438.9,-0.03,21.93,0.3,0.1,119,6.89,0.5,
Edwards,08/15/23,14:26:29,23.32,83.3,7.45,116.3,438.9,0.08,21.22,0.3,0.1,43.4,6.88,0.75,
Edwards,08/15/23,14:27:45,23.31,83.1,7.47,116.3,438.8,-0.03,25.24,0.2,0.1,37.7,6.87,1,
Edwards,08/15/23,14:29:13,23.29,83,7.48,117.2,438.9,0.18,39.78,0.2,0.1,17.1,6.86,1.25,
Edwards,08/15/23,14:30:19,23.28,82.8,7.47,118.6,438.9,0.06,77.06,0.2,0.1,13.2,6.85,1.5,
