pond,date,time,do_perc,temp_c,ph,orp,cond,turb,chla_ugl,no3_mgl,nh4_mgl,par_umol,do_mgl,depth_m,notes
Aquadro,6/5/2023,12:20:43,115.8,22.09,7.73,194,118.7,1.84,43.63,0,0.1,1649.7,9.81,0.25,
Aquadro,6/5/2023,12:22:35,116.4,21.89,7.67,194.1,118.4,1.95,39.89,0,0.1,1122.8,9.89,0.5,
Aquadro,6/5/2023,12:23:43,112.2,21.38,7.56,196.8,118.2,1.87,43.91,0,0.1,655.5,9.63,0.75,
Aquadro,6/5/2023,12:24:57,109.5,21.16,7.52,197.2,118.4,1.95,55.91,0,0.1,346.1,9.44,1,
Aquadro,6/5/2023,12:26:27,106.2,21.06,7.49,197.8,118.2,2.04,60.39,0,0.1,213.5,9.17,1.25,
Aquadro,6/5/2023,12:28:21,101.4,20.85,7.47,198.7,117.8,2.4,53.76,0,0.1,114.6,8.79,1.5,
Aquadro,6/5/2023,12:30:29,95.4,20.63,7.48,199.6,117.8,1.96,63.36,0,0.1,158.8,8.31,1.75,
Aquadro,6/5/2023,12:37:08,43.4,19.49,6.97,214.2,121.1,2.44,120.83,0,0.1,115.9,3.87,2,
Aquadro,6/5/2023,12:38:04,41.5,19.69,6.98,211,120.2,2.01,128.4,0,0.1,79.4,3.68,2.5,bottom
Carpenter,6/14/2023,15:38:20,103.5,20.22,7.82,196.6,133.2,0.55,10.38,0,0,1456.4,9.09,0.25,
Carpenter,6/14/2023,15:39:27,106.4,20.12,7.85,193.1,133.1,0.82,17.14,0,0,643.3,9.36,0.5,
Carpenter,6/14/2023,15:39:49,106.8,19.96,7.81,193.9,133.1,0.68,14.13,0,0,164.2,9.43,0.75,
Carpenter,6/14/2023,15:40:15,107.3,19.82,7.83,193.8,133.2,0.65,15.73,0,0,270.8,9.5,1,
Carpenter,6/14/2023,15:40:43,107.6,19.74,7.79,195.8,133.1,0.49,15.84,0,0,354.2,9.54,1.25,
Carpenter,6/14/2023,15:41:05,107.5,19.68,7.78,194.8,133.1,0.72,15.93,0,0,307.4,9.55,1.5,
Carpenter,6/14/2023,15:41:27,107.3,19.57,7.59,197.8,133.2,0.8,17.96,0,0,219.6,9.54,1.75,
Carpenter,6/14/2023,15:42:01,102.8,19.43,7.49,198.4,134.2,0.87,27.99,0,0,198.6,9.17,2,
Carpenter,6/14/2023,15:42:25,101,19.17,7.72,197.2,135.3,0.59,30.15,0,0,186.2,9.06,2.25,
Carpenter,6/14/2023,15:43:25,105.9,18.91,7.76,195.1,136.9,0.66,42.6,0,0,129.2,9.54,2.5,
Carpenter,6/14/2023,15:43:51,106.5,18.75,7.79,194.6,138.2,1.14,52.36,0,0,101,9.63,2.75,
Carpenter,6/14/2023,15:44:53,97.9,18.32,7.6,196.8,147.5,1.91,45.01,0,0,77,8.93,3,
Carpenter,6/14/2023,15:45:59,85.9,18.11,7.51,200.1,155,1.28,22.98,0,0,58.4,7.87,3.3,bottom
Conley,7/6/2023,12:54:52,8.5,22.89,7,-84.2,301.5,2.03,31.91,0.2,0,0.7,4063.7,0.25,
Conley,7/6/2023,12:56:58,5.6,20.83,6.85,-90.9,350.2,2.53,13.24,0.3,0,0.48,25.6,0.5,
Conley,7/6/2023,12:57:50,3.3,18.48,6.68,-95.5,437.2,4.79,25.28,0.5,0,0.3,-6.5,0.75,
Conley,7/6/2023,12:58:42,2,16.76,6.62,-105.6,576.5,2.56,93.17,0.8,0,0.19,-7.6,1,
Conley,7/6/2023,12:59:42,1,16.1,6.56,-109.2,696.2,5.9,39.14,1.2,0.1,0.09,-7.7,1.125,
Conley,7/6/2023,13:00:32,0.6,15.81,6.53,-113.6,722.3,33.89,27.94,1.6,0.1,0.06,-7.6,1.25,bottom
Ecovillage,6/6/2023,12:20:25,112.2,21.21,8.11,130.9,317.9,0.44,11.75,0,0.1,1043.2,9.66,0,
Ecovillage,6/6/2023,12:21:09,114,21.2,8.1,132.6,318,0.46,11.58,0,0.1,927,9.82,0.25,
Ecovillage,6/6/2023,12:22:07,115.8,21.12,8.11,134.3,317.8,0.53,12.73,0,0.1,419.7,9.98,0.25,
Ecovillage,6/6/2023,12:22:47,116.2,21.06,8.11,135,318.2,0.52,14.4,0,0.1,339.5,10.03,0.75,
Ecovillage,6/6/2023,12:24:21,122.6,20.88,8.22,135.5,314.8,1.33,16.52,0,0.1,269.5,10.62,1,
Ecovillage,6/6/2023,12:25:05,121.2,20.82,8.2,136.6,314.5,0.93,17.31,0,0.1,168.6,10.51,1.25,
Ecovillage,6/6/2023,12:26:38,117.4,20.65,8.26,138.5,313.2,0.78,15.92,0,0.1,120.3,10.21,1.5,
Ecovillage,6/6/2023,12:28:56,103.6,20.46,7.85,145.7,319.7,0.68,14.2,0,0.1,127.2,9.05,1.75,
Ecovillage,6/6/2023,12:30:38,85.2,20.34,7.73,149.3,319.8,0.7,15.6,0,0.1,122.9,7.46,2,
Ecovillage,6/6/2023,12:33:48,114.5,19.8,7.77,153.8,326,0.96,19.15,0,0.1,106.5,10.13,2.25,
Ecovillage,6/6/2023,12:36:18,135.3,18.57,8.14,153.7,336.8,0.96,29.12,0,0.1,86,12.27,2.5,
Ecovillage,6/6/2023,12:38:42,110.1,17.07,7.87,159.9,344.8,1.7,37.97,0,0.1,69.3,10.3,2.75,
Ecovillage,6/6/2023,12:41:38,69.3,15.99,7.62,169.4,352.3,3.51,50.36,0,0.1,56.8,6.63,3,
Ecovillage,6/6/2023,12:43:52,39.4,15,7.51,175.1,361.4,3.71,68.72,0,0.2,41.3,3.85,3.25,
Ecovillage,6/6/2023,12:45:27,20.5,14.45,7.43,177.9,367,4.83,94.42,0,0.2,19.3,2.03,3.5,
Ecovillage,6/6/2023,12:46:37,10.3,14.19,7.42,50,369.9,13.85,120.64,0,0.2,8.9,1.03,3.75,bottom
English_Deep,6/15/2023,11:34:09,95.7,19.8,7.72,201.3,218.8,-0.16,2.25,0,0.2,3342.8,8.47,0.25,
English_Deep,6/15/2023,11:34:45,95.5,19.77,7.73,201.7,218.8,-0.19,3.75,0,0.2,1796.2,8.45,0.5,
English_Deep,6/15/2023,11:35:11,95.2,19.6,7.66,206.4,218.8,-0.15,3.09,0,0.2,1353.9,8.46,0.75,
English_Deep,6/15/2023,11:35:37,94.8,19.17,7.65,207.2,218.6,-0.16,3.19,0,0.2,925.3,8.5,1,
English_Deep,6/15/2023,11:36:05,93.9,19.13,7.62,209.4,218.5,-0.11,3.03,0,0.2,664.9,8.42,1.25,
English_Deep,6/15/2023,11:36:35,93.5,19.12,7.6,210.7,218.6,-0.13,2.89,0,0.2,438.5,8.39,1.5,
English_Deep,6/15/2023,11:37:03,93.2,19.05,7.57,212.6,218.6,-0.18,3.11,0,0.2,466,8.38,1.75,
English_Deep,6/15/2023,11:37:25,93.1,19.01,7.57,212.9,218.5,-0.03,3.34,0,0.2,398.8,8.37,2,
English_Deep,6/15/2023,11:37:49,93,18.95,7.56,213.4,218.5,-0.19,3.25,0,0.2,413.7,8.37,2.25,
English_Deep,6/15/2023,11:38:11,92.8,18.91,7.57,213.2,218.6,-0.11,3.4,0,0.2,347.4,8.36,2.5,
English_Deep,6/15/2023,11:38:49,92.4,18.85,7.57,213.3,218.7,-0.1,3.52,0,0.2,361.9,8.34,2.75,
English_Deep,6/15/2023,11:39:15,92,18.64,7.53,213.8,220.3,-0.22,3.25,0,0.2,320,8.34,3,
English_Deep,6/15/2023,11:39:43,90.5,17.55,7.42,215,221,-0.38,3.65,0,0.2,242.8,8.38,3.25,
English_Deep,6/15/2023,11:40:11,89,17.18,7.32,216.8,219.7,-0.26,3.69,0,0.2,262.3,8.31,3.5,
English_Deep,6/15/2023,11:40:37,89.2,15.52,7.18,219.3,216.8,-0.33,3.97,0,0.2,235.7,8.63,3.75,
English_Deep,6/15/2023,11:41:03,88.7,14.45,7.06,222,217.4,-0.37,3.62,0,0.2,224.1,8.78,4,
English_Deep,6/15/2023,11:41:53,87.3,13.65,6.95,225.4,216.9,-0.02,3.58,0,0.2,147.2,8.79,4.25,
English_Deep,6/15/2023,11:42:25,82.6,13,6.9,227.3,218.1,-0.25,4.27,0,0.2,166.9,8.45,4.5,
English_Deep,6/15/2023,11:42:51,78.6,12.42,6.85,228.9,218.5,-0.27,3.44,0,0.2,116.9,8.13,4.75,
English_Deep,6/15/2023,11:43:37,68,11.98,6.79,232,220.1,0.79,7.5,0,0.2,133,7.12,5,
English_Deep,6/15/2023,11:44:25,57.6,11.85,6.75,202.9,220.8,33.5,21.43,0,0.2,135.1,6.04,5.5,bottom
English_Shallow,6/15/2023,14:55:44,110,23.26,9.12,159.6,195.8,2.58,17.55,0,0.1,2670.3,9.1,0.25,
English_Shallow,6/15/2023,14:57:03,117.6,23.14,9.18,147.5,195.3,2.56,24.16,0,0.1,992.9,9.76,0.5,
English_Shallow,6/15/2023,14:57:45,115,19.75,9.07,148,193.9,3.45,41.09,0,0.1,657.9,10.19,0.75,
English_Shallow,6/15/2023,14:58:11,113.4,19.39,8.98,149.8,191.1,3.72,63.2,0,0.1,390.7,10.12,1,
English_Shallow,6/15/2023,14:58:45,111.4,19,8.73,153.9,190.8,4.35,98.9,0,0.1,117.7,10.02,1.25,
