pond,date,time,do_perc,temp_c,ph,orp,cond,turb,chla_ugl,nh4_mgl,no3_mgl,par_umol,do_mgl,depth_m,notes
Applegate,7/25/2023,10:47:22,99.5,23.99,7.97,123.3,47.5,1.01,30.7,0.1,0,1625.5,8.12,0,
Applegate,7/25/2023,10:48:14,101.1,23.98,7.96,125.4,47.4,1.02,41.23,0.1,0,1685.6,8.26,0.25,
Applegate,7/25/2023,10:48:53,102.1,23.73,8.1,124.5,47.3,1.03,51.7,0,0,777.5,8.38,0.5,
Applegate,7/25/2023,10:49:17,102.6,23.47,8.34,117,47.5,1.13,50.26,0,0.1,569.4,8.46,0.75,
Applegate,7/25/2023,10:49:49,103,23.38,8.17,120.5,47.3,1.4,53.06,0,0.1,372.6,8.51,1,
Applegate,7/25/2023,10:50:27,102.7,23.33,8.03,127.7,47.3,1.11,65.82,0,0,223.4,8.49,1.25,
Applegate,7/25/2023,10:50:47,102.5,23.31,7.95,130.8,47.2,1.31,65.76,0,0,155.6,8.48,1.5,
Applegate,7/25/2023,10:51:19,101.3,23.29,7.89,130.7,47.2,1.22,59.07,0,0,90.2,8.38,1.75,
Applegate,7/25/2023,10:51:45,100.9,23.28,8.01,130,47.2,1.27,70.57,0,0,67.2,8.35,2,
Applegate,7/25/2023,10:52:17,96.1,23.2,7.82,132.8,47.3,1.25,67.42,0,0,46.6,7.97,2.25,
Applegate,7/25/2023,10:52:49,88.7,22.85,7.29,140.3,49.3,1.33,61.99,0.1,0,36.6,7.4,2.5,
Applegate,7/25/2023,10:53:17,64.7,22.1,6.83,151.4,54.4,2.68,156,0.1,0,19,5.48,2.75,
Applegate,7/25/2023,10:53:57,32.2,20.35,6.73,5.2,91.1,1.74,101.28,0.1,0,9,2.82,3,
Applegate,7/25/2023,10:54:17,19.1,19.49,6.85,-103.9,141.5,1.68,114.79,0.4,0,1.6,1.7,3.25,
Applegate,7/25/2023,10:54:41,11,17.71,7.19,-166.5,183,1.32,51.8,1.2,0,-4.6,1.01,3.5,
Applegate,7/25/2023,10:55:01,7.8,17.35,7.32,-193.2,196.2,4.52,47.75,1.6,0,-5.8,0.72,3.6,bottom
Barber,7/25/2023,14:57:12,84.6,25.39,7.24,82.5,48.8,-0.96,11.54,0,0,1794.6,6.73,0,
Barber,7/25/2023,14:58:00,79.5,25.39,6.97,109.2,48.6,-0.96,14.13,0,0,1805.2,6.33,0.25,
Barber,7/25/2023,14:58:44,74.9,25.14,6.86,126.2,48.7,-0.89,19.13,0,0,642.2,5.99,0.5,
