ID#	1
Name	Nitrous Oxide
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
1	zero air_10182022_1223_001.gcd	Unknown	0	6.439	6890	552	0.000	-----	100.000	100.000	-----	-----
2	zero air_10182022_1223_002.gcd	Unknown	0	6.442	5773	497	0.000	-----	100.000	100.000	-----	-----
3	0$0$0.1 CO2$CH4$N2O_10182022_1223_003.gcd	Unknown	0	6.435	10277	841	0.000	-----	100.000	100.000	-----	-----
4	0$0$0.25 CO2$CH4$N2O_10182022_1223_004.gcd	Unknown	0	6.440	15340	1237	0.000	-----	100.000	100.000	-----	-----
5	0$0$0.5 CO2$CH4$N2O_10182022_1223_005.gcd	Unknown	0	6.437	23856	1937	0.000	-----	100.000	100.000	-----	-----
6	25$25$0_10182022_1223_006.gcd	Unknown	0	6.436	7071	578	0.000	-----	100.000	100.000	-----	-----
7	50$50$0_10182022_1223_007.gcd	Unknown	0	6.436	7697	646	0.000	-----	100.000	100.000	-----	-----
8	100$100$0 CO2$CH4$N2O_10182022_1223_008.gcd	Unknown	0	6.438	7788	644	0.000	-----	100.000	100.000	-----	-----
9	200$200$0 CO2$CH4$N2O_10182022_1223_009.gcd	Unknown	0	6.449	5413	456	0.000	-----	100.000	100.000	-----	-----
10	125$500$0 CO2$CH4$N2O_10182022_1223_010.gcd	Unknown	0	6.439	6659	549	0.000	-----	100.000	100.000	-----	-----
11	250$1000$0 CO2$CH4$N2O_10182022_1223_011.gcd	Unknown	0	6.439	7209	602	0.000	-----	100.000	100.000	-----	-----
12	500$2000$0 CO2$CH4$N2O_10182022_1223_012.gcd	Unknown	0	6.443	6639	543	0.000	-----	100.000	100.000	-----	-----
13	1000$4000$0 CO2$CH4$N2O_10182022_1223_013.gcd	Unknown	0	6.431	5051	411	0.000	-----	100.000	100.000	-----	-----
14	072822_MAL_BOG_AIR1_10182022_1223_014.gcd	Unknown	0	6.437	17189	1393	0.000	-----	100.000	100.000	-----	-----
15	072822_MAL_BOG_AIR2_10182022_1223_015.gcd	Unknown	0	6.438	17095	1392	0.000	-----	100.000	100.000	-----	-----
16	072822_MAL_BOG_AIR3_10182022_1223_016.gcd	Unknown	0	6.438	17054	1404	0.000	-----	100.000	100.000	-----	-----
17	072822_MAL_FOR_AIR1_10182022_1223_017.gcd	Unknown	0	6.439	17027	1393	0.000	-----	100.000	100.000	-----	-----
18	072822_MAL_FOR_AIR2_10182022_1223_018.gcd	Unknown	0	6.439	17253	1399	0.000	-----	100.000	100.000	-----	-----
19	072822_MAL_FOR_AIR3_10182022_1223_019.gcd	Unknown	0	6.435	17267	1398	0.000	-----	100.000	100.000	-----	-----
20	072922_MAL_BOG_AIR1_10182022_1223_020.gcd	Unknown	0	6.437	16812	1380	0.000	-----	100.000	100.000	-----	-----
21	072922_MAL_BOG_AIR2_10182022_1223_021.gcd	Unknown	0	6.438	17003	1385	0.000	-----	100.000	100.000	-----	-----
22	072922_MAL_BOG_AIR3_10182022_1223_022.gcd	Unknown	0	6.437	17635	1409	0.000	-----	100.000	100.000	-----	-----
23	080122_MAL_EMR_AIR1_10182022_1223_023.gcd	Unknown	0	6.439	16959	1389	0.000	-----	100.000	100.000	-----	-----
24	080122_MAL_EMR_AIR2_10182022_1223_024.gcd	Unknown	0	6.437	17502	1413	0.000	-----	100.000	100.000	-----	-----
25	200$200$0_10182022_1223_025.gcd	Unknown	0	6.440	5889	486	0.000	-----	100.000	100.000	-----	-----
26	0$0$0.5_10182022_1223_026.gcd	Unknown	0	6.437	24117	1942	0.000	-----	100.000	100.000	-----	-----
27	080122_MAL_EMR_AIR3_10182022_1223_027.gcd	Unknown	0	6.438	17100	1391	0.000	-----	100.000	100.000	-----	-----
28	080222_MAL_FOR_AIR1_10182022_1223_028.gcd	Unknown	0	6.437	17277	1395	0.000	-----	100.000	100.000	-----	-----
29	080222_MAL_FOR_AIR2_10182022_1223_029.gcd	Unknown	0	6.439	17432	1410	0.000	-----	100.000	100.000	-----	-----
30	080222_MAL_FOR_AIR3_10182022_1223_030.gcd	Unknown	0	6.439	17185	1396	0.000	-----	100.000	100.000	-----	-----
31	080322_MAL_BOG_AIR1_10182022_1223_031.gcd	Unknown	0	6.435	16981	1389	0.000	-----	100.000	100.000	-----	-----
