ID#	1
Name	Methane
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
1	zero air_10182022_1223_001.gcd	Unknown	0	3.209	11049	1037	0.000	-----	0.550	0.660	-----	-----
2	zero air_10182022_1223_002.gcd	Unknown	0	3.209	18767	1792	0.000	-----	0.947	1.148	-----	-----
3	0$0$0.1 CO2$CH4$N2O_10182022_1223_003.gcd	Unknown	0	3.209	11002	1047	0.000	-----	0.505	0.613	-----	-----
4	0$0$0.25 CO2$CH4$N2O_10182022_1223_004.gcd	Unknown	0	3.208	16072	1534	0.000	-----	0.876	1.063	-----	-----
5	0$0$0.5 CO2$CH4$N2O_10182022_1223_005.gcd	Unknown	0	3.209	72781	7070	0.000	-----	4.282	5.247	-----	-----
6	25$25$0_10182022_1223_006.gcd	Unknown	0	3.210	124440	12004	0.000	-----	5.820	7.079	-----	-----
7	50$50$0_10182022_1223_007.gcd	Unknown	0	3.210	214236	20852	0.000	-----	8.444	10.277	-----	-----
8	100$100$0 CO2$CH4$N2O_10182022_1223_008.gcd	Unknown	0	3.209	417667	41239	0.000	-----	14.678	17.781	-----	-----
9	200$200$0 CO2$CH4$N2O_10182022_1223_009.gcd	Unknown	0	3.208	1091240	108533	0.000	-----	22.328	26.770	-----	-----
10	125$500$0 CO2$CH4$N2O_10182022_1223_010.gcd	Unknown	0	3.212	2911604	280006	0.000	-----	51.007	56.233	-----	-----
11	250$1000$0 CO2$CH4$N2O_10182022_1223_011.gcd	Unknown	0	3.211	5311832	517709	0.000	-----	63.455	68.375	-----	-----
12	500$2000$0 CO2$CH4$N2O_10182022_1223_012.gcd	Unknown	0	3.208	10640525	1042887	0.000	-----	72.931	77.146	-----	-----
13	1000$4000$0 CO2$CH4$N2O_10182022_1223_013.gcd	Unknown	0	3.209	23295193	2259840	0.000	-----	77.831	81.443	-----	-----
14	072822_MAL_BOG_AIR1_10182022_1223_014.gcd	Unknown	0	3.210	22690	2175	0.000	-----	0.661	0.808	-----	-----
15	072822_MAL_BOG_AIR2_10182022_1223_015.gcd	Unknown	0	3.211	16441	1563	0.000	-----	0.485	0.590	-----	-----
16	072822_MAL_BOG_AIR3_10182022_1223_016.gcd	Unknown	0	3.209	18293	1757	0.000	-----	0.513	0.629	-----	-----
17	072822_MAL_FOR_AIR1_10182022_1223_017.gcd	Unknown	0	3.209	16238	1550	0.000	-----	0.283	0.347	-----	-----
18	072822_MAL_FOR_AIR2_10182022_1223_018.gcd	Unknown	0	3.212	16523	1570	0.000	-----	0.316	0.385	-----	-----
19	072822_MAL_FOR_AIR3_10182022_1223_019.gcd	Unknown	0	3.209	16544	1580	0.000	-----	0.482	0.587	-----	-----
20	072922_MAL_BOG_AIR1_10182022_1223_020.gcd	Unknown	0	3.209	23151	2202	0.000	-----	0.664	0.808	-----	-----
21	072922_MAL_BOG_AIR2_10182022_1223_021.gcd	Unknown	0	3.212	22049	2116	0.000	-----	0.555	0.680	-----	-----
22	072922_MAL_BOG_AIR3_10182022_1223_022.gcd	Unknown	0	3.210	23584	2246	0.000	-----	0.534	0.652	-----	-----
23	080122_MAL_EMR_AIR1_10182022_1223_023.gcd	Unknown	0	3.209	17683	1680	0.000	-----	0.510	0.619	-----	-----
24	080122_MAL_EMR_AIR2_10182022_1223_024.gcd	Unknown	0	3.210	16709	1591	0.000	-----	0.502	0.610	-----	-----
25	200$200$0_10182022_1223_025.gcd	Unknown	0	3.209	1045592	103583	0.000	-----	28.384	33.375	-----	-----
26	0$0$0.5_10182022_1223_026.gcd	Unknown	0	3.211	7867	737	0.000	-----	0.636	0.760	-----	-----
27	080122_MAL_EMR_AIR3_10182022_1223_027.gcd	Unknown	0	3.211	16689	1591	0.000	-----	0.495	0.603	-----	-----
28	080222_MAL_FOR_AIR1_10182022_1223_028.gcd	Unknown	0	3.209	16646	1593	0.000	-----	0.495	0.604	-----	-----
29	080222_MAL_FOR_AIR2_10182022_1223_029.gcd	Unknown	0	3.210	16918	1612	0.000	-----	0.488	0.594	-----	-----
30	080222_MAL_FOR_AIR3_10182022_1223_030.gcd	Unknown	0	3.211	16731	1596	0.000	-----	0.500	0.609	-----	-----
31	080322_MAL_BOG_AIR1_10182022_1223_031.gcd	Unknown	0	3.208	18145	1739	0.000	-----	0.504	0.617	-----	-----
32	080322_MAL_BOG_AIR3_10182022_1223_032.gcd	Unknown	0	3.210	18326	1745	0.000	-----	0.545	0.663	-----	-----
33	080322_MAL_BOG_AIR4_10182022_1223_033.gcd	Unknown	0	3.210	16340	1555	0.000	-----	0.481	0.585	-----	-----
34	MT 9$14 AIR1_10182022_1223_034.gcd	Unknown	0	3.209	18347	1749	0.000	-----	0.537	0.654	-----	-----
35	MT 9$14 AIR2_10182022_1223_035.gcd	Unknown	0	3.209	17313	1656	0.000	-----	0.493	0.603	-----	-----
36	MT 9$14 AIR3_10182022_1223_036.gcd	Unknown	0	3.208	16335	1554	0.000	-----	0.487	0.592	-----	-----
37	MT 9$14 1 T1_10182022_1223_037.gcd	Unknown	0	3.208	2776473	275634	0.000	-----	11.811	14.815	-----	-----
38	MT 9$14 1 T2_10182022_1223_038.gcd	Unknown	0	3.209	3096981	304089	0.000	-----	12.191	15.187	-----	-----
39	MT 9$14 2 T1_10182022_1223_039.gcd	Unknown	0	3.209	5491725	542827	0.000	-----	26.054	31.186	-----	-----
40	MT 9$14 2 T2_10182022_1223_040.gcd	Unknown	0	3.210	6046981	591085	0.000	-----	26.756	31.843	-----	-----
41	MT 9$14 3 T1_10182022_1223_041.gcd	Unknown	0	3.207	1971455	196320	0.000	-----	14.157	17.586	-----	-----
42	MT 9$14 3 T2_10182022_1223_042.gcd	Unknown	0	3.208	2175729	215777	0.000	-----	14.729	18.231	-----	-----
43	MT 9$14 4 T1_10182022_1223_043.gcd	Unknown	0	3.207	499048	49436	0.000	-----	2.759	3.546	-----	-----
44	MT 9$14 4 T2_10182022_1223_044.gcd	Unknown	0	3.209	435502	42714	0.000	-----	2.722	3.468	-----	-----
45	MT 9$14 5 T1_10182022_1223_045.gcd	Unknown	0	3.208	3072711	305480	0.000	-----	38.293	44.214	-----	-----
46	MT 9$14 5 T2_10182022_1223_046.gcd	Unknown	0	3.207	3033333	300244	0.000	-----	36.917	42.704	-----	-----
47	MT 9$14 6 T1_10182022_1223_047.gcd	Unknown	0	3.208	3997255	396678	0.000	-----	16.302	20.184	-----	-----
48	MT 9$14 6 T2_10182022_1223_048.gcd	Unknown	0	3.208	3838938	379882	0.000	-----	15.989	19.794	-----	-----
49	200$200$0_10182022_1223_049.gcd	Unknown	0	3.209	1003348	99146	0.000	-----	23.901	28.517	-----	-----
50	0$0$0.5_10182022_1223_050.gcd	Unknown	0	3.208	14032	1338	0.000	-----	0.642	0.782	-----	-----
51	MT 9$14 7 T1_10182022_1223_051.gcd	Unknown	0	3.207	1492858	147662	0.000	-----	11.265	14.067	-----	-----
52	MT 9$14 7 T2_10182022_1223_052.gcd	Unknown	0	3.208	1504174	149112	0.000	-----	11.596	14.489	-----	-----
53	MT 9$14 8 T1_10182022_1223_053.gcd	Unknown	0	3.208	3357404	330860	0.000	-----	11.793	14.791	-----	-----
54	MT 9$14 8 T2_10182022_1223_054.gcd	Unknown	0	3.208	3306547	325362	0.000	-----	11.919	14.917	-----	-----
55	MT 9$14 9 T1_10182022_1223_055.gcd	Unknown	0	3.210	480557	47171	0.000	-----	13.320	16.213	-----	-----
56	MT 9$14 9 T2_10182022_1223_056.gcd	Unknown	0	3.207	562518	55553	0.000	-----	16.440	19.932	-----	-----
57	MT 9$14 10 T1_10182022_1223_057.gcd	Unknown	0	3.208	1521713	151558	0.000	-----	21.129	25.605	-----	-----
58	MT 9$14 10 T2_10182022_1223_058.gcd	Unknown	0	3.207	1701755	169702	0.000	-----	22.684	27.388	-----	-----
59	MT 9$14 11 T1_10182022_1223_059.gcd	Unknown	0	3.211	1538193	149933	0.000	-----	14.308	17.526	-----	-----
60	MT 9$14 11 T2_10182022_1223_060.gcd	Unknown	0	3.206	1754529	174682	0.000	-----	14.722	18.281	-----	-----
61	MT 9$14 12 T1_10182022_1223_061.gcd	Unknown	0	3.208	4818161	474980	0.000	-----	34.655	40.441	-----	-----
62	MT 9$14 12 T2_10182022_1223_062.gcd	Unknown	0	3.209	4143758	409745	0.000	-----	32.928	38.702	-----	-----
63	MT 9$14 13 T1_10182022_1223_063.gcd	Unknown	0	3.207	1719728	171155	0.000	-----	12.432	15.550	-----	-----
64	MT 9$14 13 T2_10182022_1223_064.gcd	Unknown	0	3.206	1951210	193474	0.000	-----	13.026	16.243	-----	-----
65	MT 9$14 14 T1_10182022_1223_065.gcd	Unknown	0	3.209	1435854	143377	0.000	-----	9.934	12.569	-----	-----
66	MT 9$14 14 T2_10182022_1223_066.gcd	Unknown	0	3.208	1327980	133825	0.000	-----	9.600	12.191	-----	-----
67	MT 9$14 15 T1_10182022_1223_067.gcd	Unknown	0	3.209	1004651	99430	0.000	-----	11.814	14.669	-----	-----
68	MT 9$14 15 T2_10182022_1223_068.gcd	Unknown	0	3.207	1160034	115690	0.000	-----	12.746	15.872	-----	-----
69	MT 9$28 AIR1_10182022_1223_069.gcd	Unknown	0	3.207	16926	1614	0.000	-----	0.478	0.584	-----	-----
70	MT 9$28 AIR2_10182022_1223_070.gcd	Unknown	0	3.208	17783	1706	0.000	-----	0.512	0.629	-----	-----
71	MT 9$28 AIR3_10182022_1223_071.gcd	Unknown	0	3.208	16769	1648	0.000	-----	0.480	0.599	-----	-----
72	MT 9$28 1 T1_10182022_1223_072.gcd	Unknown	0	3.208	1567274	157289	0.000	-----	6.144	7.926	-----	-----
73	200$200$0_10182022_1223_073.gcd	Unknown	0	3.208	1010622	99691	0.000	-----	28.565	33.616	-----	-----
74	0$0$0.5_10182022_1223_074.gcd	Unknown	0	3.207	9634	921	0.000	-----	0.626	0.763	-----	-----
75	MT 9$28 1 T2_10182022_1223_075.gcd	Unknown	0	3.209	1696687	168055	0.000	-----	6.773	8.662	-----	-----
76	MT 9$28 2 T1_10182022_1223_076.gcd	Unknown	0	3.208	279141	27559	0.000	-----	0.985	1.275	-----	-----
77	MT 9$28 2 T2_10182022_1223_077.gcd	Unknown	0	3.207	213819	20930	0.000	-----	0.946	1.214	-----	-----
78	MT 9$28 3 T1_10182022_1223_078.gcd	Unknown	0	3.209	753363	74090	0.000	-----	3.160	4.060	-----	-----
79	MT 9$28 3 T2_10182022_1223_079.gcd	Unknown	0	3.208	766892	75791	0.000	-----	3.365	4.333	-----	-----
80	MT 9$28 4 T1_10182022_1223_080.gcd	Unknown	0	3.208	69658	6757	0.000	-----	0.350	0.445	-----	-----
81	MT 9$28 4 T2_10182022_1223_081.gcd	Unknown	0	3.210	69755	6706	0.000	-----	0.346	0.437	-----	-----
82	MT 9$28 5 T1_10182022_1223_082.gcd	Unknown	0	3.209	511016	50273	0.000	-----	3.876	4.932	-----	-----
83	MT 9$28 5 T2_10182022_1223_083.gcd	Unknown	0	3.208	551826	54284	0.000	-----	3.540	4.516	-----	-----
84	MT 9$28 6 T1_10182022_1223_084.gcd	Unknown	0	3.208	73958	7205	0.000	-----	0.326	0.417	-----	-----
85	MT 9$28 6 T2_10182022_1223_085.gcd	Unknown	0	3.207	80930	7883	0.000	-----	0.354	0.453	-----	-----
86	MT 9$28 7 T1_10182022_1223_086.gcd	Unknown	0	3.207	143194	13961	0.000	-----	1.064	1.354	-----	-----
87	MT 9$28 7 T2_10182022_1223_087.gcd	Unknown	0	3.209	144805	14120	0.000	-----	1.074	1.364	-----	-----
88	MT 9$28 8 T1_10182022_1223_088.gcd	Unknown	0	3.208	106790	10416	0.000	-----	0.502	0.642	-----	-----
89	MT 9$28 8 T2_10182022_1223_089.gcd	Unknown	0	3.208	101568	9912	0.000	-----	0.506	0.647	-----	-----
90	MT 9$28 9 T1_10182022_1223_090.gcd	Unknown	0	3.207	198957	19354	0.000	-----	1.459	1.852	-----	-----
91	MT 9$28 9 T2_10182022_1223_091.gcd	Unknown	0	3.206	342422	34385	0.000	-----	2.631	3.408	-----	-----
92	MT 9$28 10 T1_10182022_1223_092.gcd	Unknown	0	3.208	243718	23936	0.000	-----	3.269	4.123	-----	-----
93	MT 9$28 10 T2_10182022_1223_093.gcd	Unknown	0	3.208	94780	9230	0.000	-----	1.439	1.806	-----	-----
94	MT 9$28 11 T1_10182022_1223_094.gcd	Unknown	0	3.208	769469	75862	0.000	-----	8.608	10.780	-----	-----
95	MT 9$28 11 T2_10182022_1223_095.gcd	Unknown	0	3.215	767762	74549	0.000	-----	8.976	11.119	-----	-----
96	MT 9$28 12 T1_10182022_1223_096.gcd	Unknown	0	3.207	391736	38706	0.000	-----	3.820	4.854	-----	-----
97	200$200$0_10182022_1223_097.gcd	Unknown	0	3.209	995424	98934	0.000	-----	20.120	24.370	-----	-----
98	0$0$0.5_10182022_1223_098.gcd	Unknown	0	3.209	19380	1854	0.000	-----	0.759	0.933	-----	-----
99	MT 9$28 12 T2_10182022_1223_099.gcd	Unknown	0	3.206	397441	39077	0.000	-----	3.844	4.878	-----	-----
100	MT 9$28 13 T1_10182022_1223_100.gcd	Unknown	0	3.207	291842	28745	0.000	-----	2.016	2.582	-----	-----
101	MT 9$28 13 T2_10182022_1223_101.gcd	Unknown	0	3.206	288547	28294	0.000	-----	2.265	2.887	-----	-----
102	MT 9$28 14 T1_10182022_1223_102.gcd	Unknown	0	3.208	115611	11255	0.000	-----	1.371	1.726	-----	-----
103	MT 9$28 14 T2_10182022_1223_103.gcd	Unknown	0	3.208	119381	11648	0.000	-----	1.287	1.627	-----	-----
104	MT 9$28 15 T1_10182022_1223_104.gcd	Unknown	0	3.208	97484	9407	0.000	-----	1.486	1.860	-----	-----
105	MT 9$28 15 T2_10182022_1223_105.gcd	Unknown	0	3.207	141823	13770	0.000	-----	1.838	2.316	-----	-----
	Average			3.209	1250332	122953	0.000		9.732	11.451	0.0	
	%RSD			0.045702	218.590228	216.611528	0.000000		152.160971	142.693279	0.000000	
	Maximum			3.215	23295193	2259840	0.000		77.831	81.443	0.0	
	Minimum			3.206	7867	737	0.000		0.283	0.347	0.0	
	Std. Dev.			0.001466	2733104.028253	266329.595132	0.000000		14.808840	16.339109	0.000000	

ID#	2
Name	Carbon Dioxide
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
1	zero air_10182022_1223_001.gcd	Unknown	0	6.022	1998287	156035	0.000	-----	99.450	99.340	-----	-----
2	zero air_10182022_1223_002.gcd	Unknown	0	6.024	1962943	154264	0.000	-----	99.053	98.852	-----	-----
3	0$0$0.1 CO2$CH4$N2O_10182022_1223_003.gcd	Unknown	0	6.022	2167052	169696	0.000	-----	99.495	99.387	-----	-----
4	0$0$0.25 CO2$CH4$N2O_10182022_1223_004.gcd	Unknown	0	6.022	1818987	142715	0.000	-----	99.124	98.937	-----	-----
5	0$0$0.5 CO2$CH4$N2O_10182022_1223_005.gcd	Unknown	0	6.023	1626929	127656	0.000	-----	95.718	94.753	-----	-----
6	25$25$0_10182022_1223_006.gcd	Unknown	0	6.023	2013796	157558	0.000	-----	94.180	92.921	-----	-----
7	50$50$0_10182022_1223_007.gcd	Unknown	0	6.023	2323025	182047	0.000	-----	91.556	89.723	-----	-----
8	100$100$0 CO2$CH4$N2O_10182022_1223_008.gcd	Unknown	0	6.024	2427845	190690	0.000	-----	85.322	82.219	-----	-----
