ID#	1											
Name	Nitrous Oxide											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
1	ghg2.90.gcd	Standard(Calc.Point)	1	-----	-----	-----	-----	-----	-----	-----	-----	*
2	zero air_7272023_1212_001.gcd	Unknown	0	-----	-----	-----	-----	-----	-----	-----	-----	-----
3	zero air_7272023_1212_002.gcd	Unknown	0	6.42	3272	288	0.057	-----	100	100	-----	-----
4	0$0$0.1 CO2$CH4$N2O_7272023_1212_003.gcd	Unknown	0	6.414	9169	750	0.159	-----	100	100	-----	-----
5	0$0$0.25 CO2$CH4$N2O_7272023_1212_004.gcd	Unknown	0	6.415	16951	1365	0.293	-----	100	100	-----	-----
6	0$0$0.5 CO2$CH4$N2O_7272023_1212_005.gcd	Unknown	0	6.41	27231	2214	0.471	-----	100	100	-----	-----
7	100$100$0 CO2$CH4$N2O_7272023_1212_006.gcd	Unknown	0	6.417	3236	264	0.056	-----	100	100	-----	-----
8	200$200$0 CO2$CH4$N2O_7272023_1212_007.gcd	Unknown	0	6.424	3161	272	0.055	-----	100	100	-----	-----
9	125$500$0 CO2$CH4$N2O_7272023_1212_008.gcd	Unknown	0	6.403	3025	270	0.052	-----	100	100	-----	-----
10	250$1000$0 CO2$CH4$N2O_7272023_1212_009.gcd	Unknown	0	6.407	3421	289	0.059	-----	100	100	-----	-----
11	500$2000$0 CO2$CH4$N2O_7272023_1212_010.gcd	Unknown	0	6.409	3382	296	0.058	-----	100	100	-----	-----
12	1000$4000$0 CO2$CH4$N2O_7272023_1212_011.gcd	Unknown	0	6.41	3583	304	0.062	-----	100	100	-----	-----
13	A-1300_7272023_1212_012.gcd	Unknown	0	6.409	17816	1439	0.308	-----	100	100	-----	-----
14	A-1301_7272023_1212_013.gcd	Unknown	0	6.414	17247	1419	0.298	-----	100	100	-----	-----
15	A-1302_7272023_1212_014.gcd	Unknown	0	6.41	17861	1435	0.309	-----	100	100	-----	-----
16	A-1303_7272023_1212_015.gcd	Unknown	0	6.412	17385	1414	0.301	-----	100	100	-----	-----
17	A-1304_7272023_1212_016.gcd	Unknown	0	6.412	17330	1405	0.3	-----	100	100	-----	-----
18	A-1305_7272023_1212_017.gcd	Unknown	0	6.407	17220	1383	0.298	-----	100	100	-----	-----
19	A-1306_7272023_1212_018.gcd	Unknown	0	6.411	16998	1375	0.294	-----	100	100	-----	-----
20	A-1307_7272023_1212_019.gcd	Unknown	0	6.41	17105	1384	0.296	-----	100	100	-----	-----
21	A-1308_7272023_1212_020.gcd	Unknown	0	6.411	16636	1375	0.288	-----	100	100	-----	-----
22	A-1309_7272023_1212_021.gcd	Unknown	0	6.41	17190	1387	0.297	-----	100	100	-----	-----
23	A-1310_7272023_1212_022.gcd	Unknown	0	6.411	17197	1394	0.297	-----	100	100	-----	-----
24	A-1311_7272023_1212_023.gcd	Unknown	0	6.413	17463	1404	0.302	-----	100	100	-----	-----
25	A-1312_7272023_1212_024.gcd	Unknown	0	6.414	17883	1432	0.309	-----	100	100	-----	-----
26	200$200$0_7272023_1212_025.gcd	Unknown	0	6.406	2920	242	0.05	-----	100	100	-----	-----
