ID#	1											
Name	Methane											
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
1	ghg2.90.gcd	Standard(Calc.Point)	1	-----	-----	-----	-----	-----	-----	-----	-----	*
2	zero air_7272023_1212_001.gcd	Unknown	0	-----	-----	-----	-----	-----	-----	-----	-----	-----
3	zero air_7272023_1212_002.gcd	Unknown	0	3.203	13847	1308	1.887	-----	1.895	2.369	-----	-----
4	0$0$0.1 CO2$CH4$N2O_7272023_1212_003.gcd	Unknown	0	3.201	9002	837	1.227	-----	0.893	1.101	-----	-----
5	0$0$0.25 CO2$CH4$N2O_7272023_1212_004.gcd	Unknown	0	3.201	15433	1468	2.104	-----	1.293	1.629	-----	-----
6	0$0$0.5 CO2$CH4$N2O_7272023_1212_005.gcd	Unknown	0	3.197	7512	695	1.024	-----	1.025	1.263	-----	-----
7	100$100$0 CO2$CH4$N2O_7272023_1212_006.gcd	Unknown	0	3.201	770232	76251	104.987	-----	34.789	41.205	-----	-----
8	200$200$0 CO2$CH4$N2O_7272023_1212_007.gcd	Unknown	0	3.201	1407264	138535	191.818	-----	39.812	46.393	-----	-----
9	125$500$0 CO2$CH4$N2O_7272023_1212_008.gcd	Unknown	0	3.2	5251214	515208	715.768	-----	72.986	77.87	-----	-----
10	250$1000$0 CO2$CH4$N2O_7272023_1212_009.gcd	Unknown	0	3.199	8587457	843663	1170.516	-----	72.669	77.627	-----	-----
11	500$2000$0 CO2$CH4$N2O_7272023_1212_010.gcd	Unknown	0	3.201	16543824	1612619	2255.011	-----	75.832	80.288	-----	-----
12	1000$4000$0 CO2$CH4$N2O_7272023_1212_011.gcd	Unknown	0	3.199	26813984	2603477	3654.889	-----	79.723	83.635	-----	-----
13	A-1300_7272023_1212_012.gcd	Unknown	0	3.199	1119675	111300	152.618	-----	33.043	39.414	-----	-----
14	A-1301_7272023_1212_013.gcd	Unknown	0	3.2	1390461	138289	189.527	-----	45.382	52.27	-----	-----
15	A-1302_7272023_1212_014.gcd	Unknown	0	3.202	1123921	111238	153.196	-----	33.712	40.068	-----	-----
16	A-1303_7272023_1212_015.gcd	Unknown	0	3.2	5922804	581568	807.31	-----	63.911	69.821	-----	-----
17	A-1304_7272023_1212_016.gcd	Unknown	0	3.2	8014467	783366	1092.415	-----	69.656	74.941	-----	-----
18	A-1305_7272023_1212_017.gcd	Unknown	0	3.199	6597077	645181	899.217	-----	66.823	72.425	-----	-----
19	A-1306_7272023_1212_018.gcd	Unknown	0	3.199	702767	69342	95.791	-----	32.848	39.11	-----	-----
20	A-1307_7272023_1212_019.gcd	Unknown	0	3.2	750389	74283	102.282	-----	31.927	38.143	-----	-----
21	A-1308_7272023_1212_020.gcd	Unknown	0	3.201	675677	66919	92.098	-----	29.985	36.004	-----	-----
22	A-1309_7272023_1212_021.gcd	Unknown	0	3.2	540942	53625	73.733	-----	23.914	29.239	-----	-----
23	A-1310_7272023_1212_022.gcd	Unknown	0	3.201	505916	49792	68.959	-----	25.098	30.472	-----	-----
24	A-1311_7272023_1212_023.gcd	Unknown	0	3.2	613421	60211	83.613	-----	26.829	32.398	-----	-----
