ID#	1
Name	Nitrous Oxide
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
1	ghg2.90.gcd	Standard(Calc.Point)	1	-----	-----	-----	-----	-----	-----	-----	-----	*
2	zero air_1042023_1732_001.gcd	Unknown	0	6.420	5040	404	0.087	-----	100.000	100.000	-----	-----
3	zero air_1042023_1732_002.gcd	Unknown	0	6.415	4992	413	0.086	-----	100.000	100.000	-----	-----
4	0$0$0.1 CO2$CH4$N2O_1042023_1732_003.gcd	Unknown	0	6.418	9457	771	0.164	-----	100.000	100.000	-----	-----
5	0$0$0.25 CO2$CH4$N2O_1042023_1732_004.gcd	Unknown	0	6.417	16752	1350	0.290	-----	100.000	100.000	-----	-----
6	0$0$0.5 CO2$CH4$N2O_1042023_1732_005.gcd	Unknown	0	6.417	27124	2193	0.469	-----	100.000	100.000	-----	-----
7	50$5$0.25 CO2$CH4$N2O_1042023_1732_006.gcd	Unknown	0	6.416	16575	1342	0.287	-----	100.000	100.000	-----	-----
8	100$10$0.5 CO2$CH4$N2O_1042023_1732_007.gcd	Unknown	0	6.418	27032	2164	0.467	-----	100.000	100.000	-----	-----
9	25$25$0 CO2$CH4$N2O_1042023_1732_008.gcd	Unknown	0	6.413	3777	328	0.065	-----	100.000	100.000	-----	-----
10	50$50$0 CO2$CH4$N2O_1042023_1732_009.gcd	Unknown	0	6.420	5346	459	0.092	-----	100.000	100.000	-----	-----
11	100$100$0 CO2$CH4$N2O_1042023_1732_010.gcd	Unknown	0	6.412	5951	487	0.103	-----	100.000	100.000	-----	-----
12	200$200$0 CO2$CH4$N2O_1042023_1732_011.gcd	Unknown	0	6.416	6006	510	0.104	-----	100.000	100.000	-----	-----
13	125$500$0 CO2$CH4$N2O_1042023_1732_012.gcd	Unknown	0	6.413	4211	359	0.073	-----	100.000	100.000	-----	-----
14	250$1000$0 CO2$CH4$N2O_1042023_1732_013.gcd	Unknown	0	6.412	4901	411	0.085	-----	100.000	100.000	-----	-----
15	500$2000$0 CO2$CH4$N2O_1042023_1732_014.gcd	Unknown	0	6.415	5212	422	0.090	-----	100.000	100.000	-----	-----
16	1000$4000$0 CO2$CH4$N2O_1042023_1732_015.gcd	Unknown	0	6.411	4889	392	0.085	-----	100.000	100.000	-----	-----
17	2500$2500$0 CO2$CH4$N2O_1042023_1732_016.gcd	Unknown	0	6.409	4398	359	0.076	-----	100.000	100.000	-----	-----
18	5000$5000$0 CO2$CH4$N2O_1042023_1732_017.gcd	Unknown	0	6.419	4970	401	0.086	-----	100.000	100.000	-----	-----
19	7500$7500$0 CO2$CH4$N2O_1042023_1732_018.gcd	Unknown	0	6.418	4590	374	0.079	-----	100.000	100.000	-----	-----
20	10000$10000$0 CO2$CH4$N2O_1042023_1732_019.gcd	Unknown	0	6.414	4692	378	0.081	-----	100.000	100.000	-----	-----
21	A-1899_1042023_1732_020.gcd	Unknown	0	6.419	19265	1552	0.333	-----	100.000	100.000	-----	-----
22	A-1898_1042023_1732_021.gcd	Unknown	0	6.416	19460	1580	0.337	-----	100.000	100.000	-----	-----
23	A-1897_1042023_1732_022.gcd	Unknown	0	6.419	19312	1575	0.334	-----	100.000	100.000	-----	-----
24	A-1900_1042023_1732_023.gcd	Unknown	0	6.416	18401	1484	0.318	-----	100.000	100.000	-----	-----
25	A-1901_1042023_1732_024.gcd	Unknown	0	6.415	18701	1498	0.323	-----	100.000	100.000	-----	-----
26	200$200$0_1042023_1732_025.gcd	Unknown	0	6.416	5294	436	0.092	-----	100.000	100.000	-----	-----
27	0$0$0.5_1042023_1732_026.gcd	Unknown	0	6.416	27694	2213	0.479	-----	100.000	100.000	-----	-----
28	A-1902_1042023_1732_027.gcd	Unknown	0	6.418	18596	1495	0.322	-----	100.000	100.000	-----	-----
29	A-1903_1042023_1732_028.gcd	Unknown	0	6.419	17912	1440	0.310	-----	100.000	100.000	-----	-----
30	A-1904_1042023_1732_029.gcd	Unknown	0	6.417	18584	1491	0.321	-----	100.000	100.000	-----	-----
31	A-1905_1042023_1732_030.gcd	Unknown	0	6.417	17872	1444	0.309	-----	100.000	100.000	-----	-----
32	A-1906_1042023_1732_031.gcd	Unknown	0	6.415	18948	1534	0.328	-----	100.000	100.000	-----	-----
33	A-1907_1042023_1732_032.gcd	Unknown	0	6.416	18933	1530	0.327	-----	100.000	100.000	-----	-----
34	A-1908_1042023_1732_033.gcd	Unknown	0	6.415	26261	2101	0.454	-----	100.000	100.000	-----	-----
35	A-1909_1042023_1732_034.gcd	Unknown	0	6.418	18681	1502	0.323	-----	100.000	100.000	-----	-----
36	A-1910_1042023_1732_035.gcd	Unknown	0	6.416	18642	1510	0.322	-----	100.000	100.000	-----	-----
37	A-1911_1042023_1732_036.gcd	Unknown	0	6.418	19139	1536	0.331	-----	100.000	100.000	-----	-----
38	A-1912_1042023_1732_037.gcd	Unknown	0	6.417	29665	2387	0.513	-----	100.000	100.000	-----	-----
39	A-1913_1042023_1732_038.gcd	Unknown	0	6.417	18473	1498	0.319	-----	100.000	100.000	-----	-----
40	A-1914_1042023_1732_039.gcd	Unknown	0	6.417	19193	1544	0.332	-----	100.000	100.000	-----	-----
41	A-1915_1042023_1732_040.gcd	Unknown	0	6.415	15444	1256	0.267	-----	100.000	100.000	-----	-----
42	A-1916_1042023_1732_041.gcd	Unknown	0	6.419	15619	1258	0.270	-----	100.000	100.000	-----	-----
43	A-1917_1042023_1732_042.gcd	Unknown	0	6.418	14219	1142	0.246	-----	100.000	100.000	-----	-----
44	A-1918_1042023_1732_043.gcd	Unknown	0	6.417	18541	1493	0.321	-----	100.000	100.000	-----	-----
45	A-1919_1042023_1732_044.gcd	Unknown	0	6.417	18495	1495	0.320	-----	100.000	100.000	-----	-----
46	A-1920_1042023_1732_045.gcd	Unknown	0	6.419	18774	1510	0.325	-----	100.000	100.000	-----	-----
47	A-1921_1042023_1732_046.gcd	Unknown	0	6.416	17795	1443	0.308	-----	100.000	100.000	-----	-----
48	A-1922_1042023_1732_047.gcd	Unknown	0	6.418	18372	1482	0.318	-----	100.000	100.000	-----	-----
49	A-1923_1042023_1732_048.gcd	Unknown	0	6.418	18438	1476	0.319	-----	100.000	100.000	-----	-----
50	200$200$0_1042023_1732_049.gcd	Unknown	0	6.420	5381	434	0.093	-----	100.000	100.000	-----	-----
51	0$0$0.5_1042023_1732_050.gcd	Unknown	0	6.415	27494	2197	0.475	-----	100.000	100.000	-----	-----
52	A-1924_1042023_1732_051.gcd	Unknown	0	6.415	18568	1506	0.321	-----	100.000	100.000	-----	-----
53	A-1925_1042023_1732_052.gcd	Unknown	0	6.418	18421	1485	0.319	-----	100.000	100.000	-----	-----
54	A-1926_1042023_1732_053.gcd	Unknown	0	6.415	18623	1502	0.322	-----	100.000	100.000	-----	-----
55	A-1895_1042023_1732_054.gcd	Unknown	0	6.416	17681	1413	0.306	-----	100.000	100.000	-----	-----
56	A-1896_1042023_1732_055.gcd	Unknown	0	6.417	17418	1397	0.301	-----	100.000	100.000	-----	-----
57	A-1685_1042023_1732_056.gcd	Unknown	0	6.416	15620	1265	0.270	-----	100.000	100.000	-----	-----
58	A-1817_1042023_1732_057.gcd	Unknown	0	6.416	16481	1331	0.285	-----	100.000	100.000	-----	-----
59	A-1684_1042023_1732_058.gcd	Unknown	0	6.416	16902	1369	0.292	-----	100.000	100.000	-----	-----
60	A-1720_1042023_1732_059.gcd	Unknown	0	6.416	16735	1350	0.289	-----	100.000	100.000	-----	-----
61	A-1927_1042023_1732_060.gcd	Unknown	0	6.419	15966	1287	0.276	-----	100.000	100.000	-----	-----
62	A-1697_1042023_1732_061.gcd	Unknown	0	6.418	15625	1261	0.270	-----	100.000	100.000	-----	-----
63	A-1699_1042023_1732_062.gcd	Unknown	0	6.415	16009	1300	0.277	-----	100.000	100.000	-----	-----
64	A-1717_1042023_1732_063.gcd	Unknown	0	6.416	17381	1406	0.301	-----	100.000	100.000	-----	-----
65	A-1709_1042023_1732_064.gcd	Unknown	0	6.418	17588	1419	0.304	-----	100.000	100.000	-----	-----
66	A-1928_1042023_1732_065.gcd	Unknown	0	6.415	17269	1407	0.299	-----	100.000	100.000	-----	-----
67	A-1929_1042023_1732_066.gcd	Unknown	0	6.418	17396	1404	0.301	-----	100.000	100.000	-----	-----
68	A-1930_1042023_1732_067.gcd	Unknown	0	6.416	17229	1402	0.298	-----	100.000	100.000	-----	-----
69	A-1931_1042023_1732_068.gcd	Unknown	0	6.419	17730	1434	0.307	-----	100.000	100.000	-----	-----
70	A-1679_1042023_1732_069.gcd	Unknown	0	6.418	17454	1412	0.302	-----	100.000	100.000	-----	-----
71	A-1700_1042023_1732_070.gcd	Unknown	0	6.416	17863	1433	0.309	-----	100.000	100.000	-----	-----
72	A-1763_1042023_1732_071.gcd	Unknown	0	6.417	17952	1450	0.310	-----	100.000	100.000	-----	-----
73	A-1764_1042023_1732_072.gcd	Unknown	0	6.417	16845	1365	0.291	-----	100.000	100.000	-----	-----
74	200$200$0_1042023_1732_073.gcd	Unknown	0	6.413	4868	386	0.084	-----	100.000	100.000	-----	-----
75	0$0$0.5_1042023_1732_074.gcd	Unknown	0	6.415	26920	2161	0.466	-----	100.000	100.000	-----	-----
76	A-1932_1042023_1732_075.gcd	Unknown	0	6.418	17151	1385	0.297	-----	100.000	100.000	-----	-----
77	A-1695_1042023_1732_076.gcd	Unknown	0	6.417	16988	1367	0.294	-----	100.000	100.000	-----	-----
78	A-1716_1042023_1732_077.gcd	Unknown	0	6.416	17505	1417	0.303	-----	100.000	100.000	-----	-----
79	A-1935_1042023_1732_078.gcd	Unknown	0	6.418	17542	1416	0.303	-----	100.000	100.000	-----	-----
80	A-1828_1042023_1732_079.gcd	Unknown	0	6.414	17462	1412	0.302	-----	100.000	100.000	-----	-----
81	A-1714_1042023_1732_080.gcd	Unknown	0	6.417	17346	1412	0.300	-----	100.000	100.000	-----	-----
82	A-1934_1042023_1732_081.gcd	Unknown	0	6.415	17291	1402	0.299	-----	100.000	100.000	-----	-----
83	A-1692_1042023_1732_082.gcd	Unknown	0	6.419	17471	1419	0.302	-----	100.000	100.000	-----	-----
84	A-1933_1042023_1732_083.gcd	Unknown	0	6.418	18069	1456	0.312	-----	100.000	100.000	-----	-----
85	A-1711_1042023_1732_084.gcd	Unknown	0	6.419	17824	1439	0.308	-----	100.000	100.000	-----	-----
86	A-1693_1042023_1732_085.gcd	Unknown	0	6.420	17743	1425	0.307	-----	100.000	100.000	-----	-----
87	A-1937_1042023_1732_086.gcd	Unknown	0	6.415	20158	1624	0.349	-----	100.000	100.000	-----	-----
88	A-1713_1042023_1732_087.gcd	Unknown	0	6.417	17040	1375	0.295	-----	100.000	100.000	-----	-----
89	A-1765_1042023_1732_088.gcd	Unknown	0	6.416	17821	1421	0.308	-----	100.000	100.000	-----	-----
	Average			6.417	15926	1286	0.275		100.000	100.000	0.0	
	%RSD			0.032587	38.677401	38.279641	38.676805		0.000000	0.000000	0.000000	
	Maximum			6.420	29665	2387	0.513		100.000	100.000	0.0	
	Minimum			6.409	3777	328	0.065		100.000	100.000	0.0	
	Std. Dev.			0.002091	6159.663411	492.287458	0.106524		0.000000	0.000000	0.000000	

