ID#	1
Name	Methane
	Data Filename	Sample Type	Level#	Ret. Time	Area	Height	Conc.	Std. Conc.	Area%	Height%	Accuracy[%]	Cal. Point
1	ghg2.90.gcd	Standard(Calc.Point)	1	-----	-----	-----	-----	-----	-----	-----	-----	*
2	zero air_1042023_1732_001.gcd	Unknown	0	3.206	17546	1600	2.392	-----	1.410	1.701	-----	-----
3	zero air_1042023_1732_002.gcd	Unknown	0	3.204	11123	1027	1.516	-----	1.051	1.279	-----	-----
4	0$0$0.1 CO2$CH4$N2O_1042023_1732_003.gcd	Unknown	0	3.207	81549	7882	11.116	-----	7.131	8.942	-----	-----
5	0$0$0.25 CO2$CH4$N2O_1042023_1732_004.gcd	Unknown	0	3.206	12787	1170	1.743	-----	1.559	1.882	-----	-----
6	0$0$0.5 CO2$CH4$N2O_1042023_1732_005.gcd	Unknown	0	3.205	21218	1981	2.892	-----	1.860	2.288	-----	-----
7	50$5$0.25 CO2$CH4$N2O_1042023_1732_006.gcd	Unknown	0	3.205	44077	4217	6.008	-----	3.493	4.376	-----	-----
8	100$10$0.5 CO2$CH4$N2O_1042023_1732_007.gcd	Unknown	0	3.206	357434	35115	48.720	-----	16.990	20.958	-----	-----
9	25$25$0 CO2$CH4$N2O_1042023_1732_008.gcd	Unknown	0	3.205	192011	18759	26.172	-----	16.413	20.243	-----	-----
10	50$50$0 CO2$CH4$N2O_1042023_1732_009.gcd	Unknown	0	3.207	307141	30009	41.865	-----	20.128	24.572	-----	-----
11	100$100$0 CO2$CH4$N2O_1042023_1732_010.gcd	Unknown	0	3.206	862799	85354	117.604	-----	27.145	32.741	-----	-----
12	200$200$0 CO2$CH4$N2O_1042023_1732_011.gcd	Unknown	0	3.207	2586475	258037	352.550	-----	44.337	51.183	-----	-----
13	125$500$0 CO2$CH4$N2O_1042023_1732_012.gcd	Unknown	0	3.207	4651526	455005	634.028	-----	68.070	73.398	-----	-----
14	250$1000$0 CO2$CH4$N2O_1042023_1732_013.gcd	Unknown	0	3.205	7973528	782787	1086.834	-----	73.516	78.261	-----	-----
15	500$2000$0 CO2$CH4$N2O_1042023_1732_014.gcd	Unknown	0	3.205	14517763	1415968	1978.848	-----	76.184	80.538	-----	-----
16	1000$4000$0 CO2$CH4$N2O_1042023_1732_015.gcd	Unknown	0	3.204	28688556	2807695	3910.403	-----	78.655	82.748	-----	-----
17	2500$2500$0 CO2$CH4$N2O_1042023_1732_016.gcd	Unknown	0	3.205	21334626	2068601	2908.023	-----	51.005	57.683	-----	-----
