pond,date,time,temp_c,do_perc,ph,orp,cond,turb,chla,nh4,no3,par,depth
Mudd,4/28/2022,15:29:21,10.77,103,8.27,141.8,660.7,0.12,3.55,1.4,1,NA,0.25
Mudd,4/28/2022,15:29:53,10.45,106,8.2,152.7,661.7,0.13,3.42,0.9,0.7,NA,0.5
Mudd,4/28/2022,15:30:15,9.49,107.9,8.18,155.7,664.7,0.32,3.72,0.8,0.6,NA,0.75
Mudd,4/28/2022,15:30:35,8.45,107.5,8.17,158.1,668.1,0.64,5.03,0.8,0.5,NA,1
Mudd,4/28/2022,15:31:37,8.29,104.6,8.15,159.7,668.4,0.6,5.59,0.7,0.5,NA,1.25
Mudd,4/28/2022,15:31:56,8.04,104.4,8.16,159.7,668.6,0.97,6.12,0.7,0.5,NA,1.5
Mudd,4/28/2022,15:32:16,7.85,104,8.16,159.8,669.6,0.77,7.24,0.7,0.5,NA,1.75
Mudd,4/28/2022,15:32:20,7.84,103.9,8.16,159.7,669.6,0.78,7.17,0.7,0.5,NA,2
Mudd,4/28/2022,15:33:28,7.82,105.7,8.19,154.3,670.1,1.2,8.97,0.7,0.5,NA,2.25
Mudd,4/28/2022,15:33:44,7.81,106.1,8.19,153.6,670.3,1.39,11.89,0.7,0.5,NA,2.5
Mudd,4/28/2022,15:33:58,7.86,106.4,8.17,153.2,671.3,188.7,128.78,1,0.5,NA,2.7
Mudd,6/6/2022,13:27:43,22.81,132.2,8.11,125.4,579,0.36,3.92,1,1.5,2945.1,0.25
Mudd,6/6/2022,13:28:21,19.48,147.3,8.15,128,585.3,0.02,6.27,0.9,0.8,1187.5,0.5
Mudd,6/6/2022,13:28:33,18.03,152.7,8.15,129.4,595.8,0.01,5.48,0.9,0.7,927.9,0.75
Mudd,6/6/2022,13:28:49,17.16,157.4,8.14,131.1,599.6,0.32,6.79,0.9,0.6,742.9,1
Mudd,6/6/2022,13:29:03,16.49,159.3,8.13,131.8,602.9,0.72,9.87,0.9,0.6,533.8,1.25
Mudd,6/6/2022,13:29:17,15.96,159.3,8.07,133.4,607.1,0.95,13.33,0.9,0.5,322.5,1.5
Mudd,6/6/2022,13:29:29,15.58,156.8,8.01,134.7,608.8,1.32,13.55,0.8,0.5,302.1,1.75
Mudd,6/6/2022,13:29:43,15.36,152.3,7.97,135.9,609.9,1.53,12.96,0.8,0.5,299.3,2
