Pond Name ,Date,Scientists,Site Number,Site Coordinates,lat,long,Depth_top_sediments_cm,Depth_btm_sediments_cm,Sediment_Thickness_cm
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",01,"42.408894, -76.373376",42.408894,-76.373376,87,90,3
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",02,"42.408901, -76.373428",42.408901,-76.373428,220,240,20
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",03,"42.408914, -76.373476",42.408914,-76.373476,240,260,20
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",04,"42.408929, -76.373540",42.408929,-76.37354,250,285,35
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",05,"42.408952, -76.373589",42.408952,-76.373589,213,230,17
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",06,"42.408958, -76.373631",42.408958,-76.373631,150,162,12
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",07,"42.409014, -76.373318",42.409014,-76.373318,72,92,20
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",08,"42.409033, -76.373340",42.409033,-76.37334,185,205,20
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",09,"42.409045, -76.373387",42.409045,-76.373387,260,275,15
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",10,"42.409037, -76.373419",42.409037,-76.373419,290,310,20
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",11,"42.409033, -76.373446",42.409033,-76.373446,270,303,33
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",12,"42.409028, -76.373476",42.409028,-76.373476,250,290,40
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",13,"42.409017, -76.373521",42.409017,-76.373521,260,290,30
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",14,"42.409012, -76.373575",42.409012,-76.373575,252,265,13
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",15,"42.409012, -76.373632",42.409012,-76.373632,128,134,6
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",16,"42.409118, -76.373622",42.409118,-76.373622,102,107,5
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",17,"42.409125, -76.373571",42.409125,-76.373571,158,162,4
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",18,"42.409130, -76.373520",42.40913,-76.37352,278,295,17
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",19,"42.409138, -76.373456",42.409138,-76.373456,310,340,30
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",20,"42.409109, -76.373412",42.409109,-76.373412,320,334,14
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",21,"42.409130, -76.373370",42.40913,-76.37337,300,318,18
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",22,"42.409136, -76.373317",42.409136,-76.373317,130,155,25
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",23,"42.409206, -76.373678",42.409206,-76.373678,95,100,5
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",24,"42.409220, -76.373634",42.40922,-76.373634,215,220,5
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",25,"42.409243, -76.373561",42.409243,-76.373561,285,290,5
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",26,"42.409256, -76.373503",42.409256,-76.373503,222,240,18
Ellen's Pond,06/17/2022,"MAH, KAG, LF, DC, WR",27,"42.409265, -76.373450",42.409265,-76.37345,130,145,15
