datetime,wtr_bottom_t18,wtr_middle_t17,wtr_top_t16,datetime_incorrect,notes
4/28/2023 12:15,11.916,12.207,12.98,10/8/2010 0:45,4/28: thermistors deployed @12:15pm
4/28/2023 12:20,11.916,12.11,12.98,10/8/2010 0:50,
4/28/2023 12:25,11.916,12.11,12.98,10/8/2010 0:55,
4/28/2023 12:30,11.916,12.11,12.98,10/8/2010 1:00,
4/28/2023 12:35,11.916,12.207,12.98,10/8/2010 1:05,
4/28/2023 12:40,11.916,12.11,12.98,10/8/2010 1:10,
4/28/2023 12:45,11.916,12.11,13.076,10/8/2010 1:15,
4/28/2023 12:50,11.916,12.11,12.98,10/8/2010 1:20,
4/28/2023 12:55,11.916,12.11,12.98,10/8/2010 1:25,
4/28/2023 13:00,11.916,12.11,13.076,10/8/2010 1:30,
4/28/2023 13:05,11.916,12.11,13.076,10/8/2010 1:35,
4/28/2023 13:10,11.916,12.11,13.076,10/8/2010 1:40,
4/28/2023 13:15,11.916,12.207,13.076,10/8/2010 1:45,
4/28/2023 13:20,11.916,12.207,13.076,10/8/2010 1:50,
4/28/2023 13:25,11.916,12.11,12.98,10/8/2010 1:55,
4/28/2023 13:30,11.916,12.11,12.98,10/8/2010 2:00,
4/28/2023 13:35,11.916,12.11,12.98,10/8/2010 2:05,
4/28/2023 13:40,12.013,12.207,13.076,10/8/2010 2:10,
4/28/2023 13:45,12.013,12.207,13.076,10/8/2010 2:15,
4/28/2023 13:50,12.013,12.207,12.98,10/8/2010 2:20,
4/28/2023 13:55,12.013,12.207,13.076,10/8/2010 2:25,
4/28/2023 14:00,12.013,12.304,13.076,10/8/2010 2:30,
4/28/2023 14:05,12.013,12.304,13.076,10/8/2010 2:35,
4/28/2023 14:10,12.013,12.304,12.98,10/8/2010 2:40,
4/28/2023 14:15,12.013,12.207,12.98,10/8/2010 2:45,
4/28/2023 14:20,12.013,12.207,12.98,10/8/2010 2:50,
4/28/2023 14:25,12.013,12.207,12.98,10/8/2010 2:55,
4/28/2023 14:30,12.013,12.207,12.98,10/8/2010 3:00,
4/28/2023 14:35,12.013,12.207,12.883,10/8/2010 3:05,
4/28/2023 14:40,12.013,12.207,12.883,10/8/2010 3:10,
4/28/2023 14:45,12.013,12.207,12.883,10/8/2010 3:15,
4/28/2023 14:50,12.013,12.11,12.883,10/8/2010 3:20,
4/28/2023 14:55,12.013,12.11,12.787,10/8/2010 3:25,
4/28/2023 15:00,12.013,12.11,12.787,10/8/2010 3:30,
4/28/2023 15:05,12.013,12.11,12.787,10/8/2010 3:35,
4/28/2023 15:10,12.013,12.207,12.787,10/8/2010 3:40,
4/28/2023 15:15,12.013,12.207,12.787,10/8/2010 3:45,
4/28/2023 15:20,11.916,12.207,12.787,10/8/2010 3:50,
4/28/2023 15:25,12.013,12.207,12.787,10/8/2010 3:55,
4/28/2023 15:30,12.013,12.304,12.787,10/8/2010 4:00,
4/28/2023 15:35,12.013,12.207,12.787,10/8/2010 4:05,
4/28/2023 15:40,12.013,12.207,12.787,10/8/2010 4:10,
4/28/2023 15:45,12.013,12.207,12.69,10/8/2010 4:15,
4/28/2023 15:50,12.013,12.207,12.69,10/8/2010 4:20,
4/28/2023 15:55,12.013,12.207,12.69,10/8/2010 4:25,
4/28/2023 16:00,12.013,12.207,12.69,10/8/2010 4:30,
4/28/2023 16:05,12.013,12.207,12.69,10/8/2010 4:35,
4/28/2023 16:10,12.013,12.207,12.69,10/8/2010 4:40,
4/28/2023 16:15,12.013,12.207,12.69,10/8/2010 4:45,
4/28/2023 16:20,12.013,12.207,12.69,10/8/2010 4:50,
4/28/2023 16:25,12.013,12.207,12.69,10/8/2010 4:55,
4/28/2023 16:30,12.013,12.207,12.69,10/8/2010 5:00,
4/28/2023 16:35,12.013,12.207,12.69,10/8/2010 5:05,
4/28/2023 16:40,12.013,12.207,12.594,10/8/2010 5:10,
4/28/2023 16:45,12.013,12.207,12.594,10/8/2010 5:15,
4/28/2023 16:50,12.013,12.207,12.594,10/8/2010 5:20,
4/28/2023 16:55,11.916,12.207,12.594,10/8/2010 5:25,
4/28/2023 17:00,11.916,12.207,12.594,10/8/2010 5:30,
4/28/2023 17:05,11.916,12.207,12.594,10/8/2010 5:35,
4/28/2023 17:10,11.916,12.207,12.594,10/8/2010 5:40,
4/28/2023 17:15,11.916,12.207,12.497,10/8/2010 5:45,
4/28/2023 17:20,11.916,12.207,12.497,10/8/2010 5:50,
4/28/2023 17:25,11.916,12.207,12.594,10/8/2010 5:55,
4/28/2023 17:30,11.916,12.207,12.594,10/8/2010 6:00,
4/28/2023 17:35,11.916,12.207,12.594,10/8/2010 6:05,
4/28/2023 17:40,11.916,12.207,12.594,10/8/2010 6:10,
4/28/2023 17:45,11.916,12.207,12.594,10/8/2010 6:15,
4/28/2023 17:50,12.013,12.207,12.594,10/8/2010 6:20,
4/28/2023 17:55,11.916,12.207,12.594,10/8/2010 6:25,
4/28/2023 18:00,12.013,12.11,12.594,10/8/2010 6:30,
4/28/2023 18:05,11.916,12.11,12.594,10/8/2010 6:35,
4/28/2023 18:10,12.013,12.11,12.594,10/8/2010 6:40,
4/28/2023 18:15,11.916,12.11,12.497,10/8/2010 6:45,
4/28/2023 18:20,12.013,12.11,12.497,10/8/2010 6:50,
4/28/2023 18:25,12.013,12.11,12.497,10/8/2010 6:55,
4/28/2023 18:30,12.013,12.11,12.497,10/8/2010 7:00,
4/28/2023 18:35,12.013,12.11,12.497,10/8/2010 7:05,
4/28/2023 18:40,12.013,12.11,12.497,10/8/2010 7:10,
4/28/2023 18:45,12.013,12.013,12.401,10/8/2010 7:15,
4/28/2023 18:50,12.013,12.013,12.401,10/8/2010 7:20,
4/28/2023 18:55,11.916,12.013,12.401,10/8/2010 7:25,
4/28/2023 19:00,12.013,12.013,12.304,10/8/2010 7:30,
4/28/2023 19:05,11.916,12.013,12.304,10/8/2010 7:35,
4/28/2023 19:10,11.916,12.013,12.304,10/8/2010 7:40,
4/28/2023 19:15,12.013,12.013,12.304,10/8/2010 7:45,
4/28/2023 19:20,11.916,12.013,12.207,10/8/2010 7:50,
4/28/2023 19:25,12.013,12.013,12.207,10/8/2010 7:55,
4/28/2023 19:30,12.013,12.013,12.207,10/8/2010 8:00,
4/28/2023 19:35,12.013,12.013,12.207,10/8/2010 8:05,
4/28/2023 19:40,11.916,12.013,12.11,10/8/2010 8:10,
4/28/2023 19:45,11.916,12.013,12.11,10/8/2010 8:15,
4/28/2023 19:50,11.916,12.013,12.11,10/8/2010 8:20,
4/28/2023 19:55,11.916,12.013,12.11,10/8/2010 8:25,
4/28/2023 20:00,11.916,12.013,12.11,10/8/2010 8:30,
4/28/2023 20:05,11.916,12.013,12.11,10/8/2010 8:35,
4/28/2023 20:10,11.916,12.013,12.11,10/8/2010 8:40,
4/28/2023 20:15,11.916,12.013,12.11,10/8/2010 8:45,
4/28/2023 20:20,11.916,12.013,12.11,10/8/2010 8:50,
4/28/2023 20:25,11.916,12.013,12.11,10/8/2010 8:55,
4/28/2023 20:30,11.916,12.013,12.11,10/8/2010 9:00,
4/28/2023 20:35,11.916,12.013,12.013,10/8/2010 9:05,
4/28/2023 20:40,12.013,12.013,12.013,10/8/2010 9:10,
4/28/2023 20:45,11.916,12.013,12.013,10/8/2010 9:15,
4/28/2023 20:50,12.013,12.013,12.013,10/8/2010 9:20,
4/28/2023 20:55,11.916,12.013,12.013,10/8/2010 9:25,
4/28/2023 21:00,11.916,12.013,12.013,10/8/2010 9:30,
4/28/2023 21:05,11.916,12.013,12.013,10/8/2010 9:35,
4/28/2023 21:10,11.916,12.013,12.013,10/8/2010 9:40,
4/28/2023 21:15,11.916,12.013,12.013,10/8/2010 9:45,
4/28/2023 21:20,11.916,12.013,12.013,10/8/2010 9:50,
4/28/2023 21:25,11.916,12.013,12.013,10/8/2010 9:55,
4/28/2023 21:30,11.916,11.916,12.013,10/8/2010 10:00,
4/28/2023 21:35,11.916,11.916,12.013,10/8/2010 10:05,
4/28/2023 21:40,11.916,11.916,11.916,10/8/2010 10:10,
4/28/2023 21:45,12.013,11.916,11.916,10/8/2010 10:15,
4/28/2023 21:50,11.916,11.916,11.916,10/8/2010 10:20,
4/28/2023 21:55,11.916,11.916,11.916,10/8/2010 10:25,
4/28/2023 22:00,11.916,11.916,11.916,10/8/2010 10:30,
4/28/2023 22:05,11.916,11.916,11.916,10/8/2010 10:35,
