datetime_proposed,wtr_top_t19,wtr_middle_t20,wtr_bottom_t21,wtr_bottom_t26,datetime_incorrect,
4/22/2023 5:35,21.855,21.855,21.951,,10/1/2010 18:00,
4/22/2023 5:40,21.855,21.855,21.951,,10/1/2010 18:05,
4/22/2023 5:45,21.855,21.855,21.855,,10/1/2010 18:10,
4/22/2023 5:50,21.855,21.855,21.855,,10/1/2010 18:15,
4/22/2023 5:55,21.855,21.855,21.951,,10/1/2010 18:20,
4/22/2023 6:00,21.855,21.855,21.951,,10/1/2010 18:25,
4/22/2023 6:05,21.855,21.855,21.951,,10/1/2010 18:30,
4/22/2023 6:10,21.855,21.855,21.951,,10/1/2010 18:35,
4/22/2023 6:15,21.855,21.855,21.951,,10/1/2010 18:40,
4/22/2023 6:20,21.855,21.855,21.951,,10/1/2010 18:45,
4/22/2023 6:25,21.855,21.855,21.951,,10/1/2010 18:50,
4/22/2023 6:30,21.855,21.855,21.951,,10/1/2010 18:55,
4/22/2023 6:35,21.855,21.855,21.951,,10/1/2010 19:00,
4/22/2023 6:40,21.855,21.855,21.951,,10/1/2010 19:05,
4/22/2023 6:45,21.855,21.855,21.951,,10/1/2010 19:10,
4/22/2023 6:50,21.855,21.855,21.951,,10/1/2010 19:15,
4/22/2023 6:55,21.855,21.855,21.951,,10/1/2010 19:20,
4/22/2023 7:00,21.855,21.855,21.951,,10/1/2010 19:25,
4/22/2023 7:05,21.855,21.855,21.951,,10/1/2010 19:30,
4/22/2023 7:10,21.855,21.855,21.951,,10/1/2010 19:35,
4/22/2023 7:15,21.855,21.855,21.951,,10/1/2010 19:40,
4/22/2023 7:20,21.855,21.855,21.951,,10/1/2010 19:45,
4/22/2023 7:25,21.855,21.855,21.951,,10/1/2010 19:50,
4/22/2023 7:30,21.855,21.855,21.951,,10/1/2010 19:55,
4/22/2023 7:35,21.855,21.855,21.951,,10/1/2010 20:00,
4/22/2023 7:40,21.855,21.855,21.951,,10/1/2010 20:05,
4/22/2023 7:45,21.855,21.855,21.951,,10/1/2010 20:10,
4/22/2023 7:50,21.855,21.855,21.951,,10/1/2010 20:15,
4/22/2023 7:55,21.855,21.855,21.951,,10/1/2010 20:20,
4/22/2023 8:00,21.855,21.855,21.951,,10/1/2010 20:25,
4/22/2023 8:05,21.855,21.855,21.951,,10/1/2010 20:30,
4/22/2023 8:10,21.855,21.855,21.951,,10/1/2010 20:35,
4/22/2023 8:15,21.855,21.855,21.951,,10/1/2010 20:40,
4/22/2023 8:20,21.855,21.855,21.951,,10/1/2010 20:45,
4/22/2023 8:25,21.855,21.855,21.951,,10/1/2010 20:50,
4/22/2023 8:30,21.855,21.855,21.951,,10/1/2010 20:55,
4/22/2023 8:35,21.855,21.855,21.951,,10/1/2010 21:00,
4/22/2023 8:40,21.855,21.855,21.951,,10/1/2010 21:05,
4/22/2023 8:45,21.855,21.855,21.951,,10/1/2010 21:10,
4/22/2023 8:50,21.855,21.855,21.951,,10/1/2010 21:15,
4/22/2023 8:55,21.855,21.855,21.951,,10/1/2010 21:20,
4/22/2023 9:00,21.855,21.855,21.951,,10/1/2010 21:25,
4/22/2023 9:05,21.855,21.951,21.951,,10/1/2010 21:30,
4/22/2023 9:10,21.951,21.855,21.951,,10/1/2010 21:35,
4/22/2023 9:15,21.951,21.855,21.951,,10/1/2010 21:40,
4/22/2023 9:20,21.855,21.855,21.951,,10/1/2010 21:45,
4/22/2023 9:25,21.855,21.855,21.951,,10/1/2010 21:50,
4/22/2023 9:30,21.855,21.855,21.951,,10/1/2010 21:55,
