datetime,temp_c,do_mgl,do_perc
           2023-04-24 15:56:00,14.506,9.608,97.169674
           2023-04-24 16:06:00,14.532,9.646,97.609291
           2023-04-24 16:16:00,14.549,9.592,97.098821
           2023-04-24 16:26:00,14.558,9.781,99.031464
           2023-04-24 16:36:00,14.566,9.692,98.147452
           2023-04-24 16:46:00,14.661,9.832,99.771254
           2023-04-24 16:56:00,14.679,9.864,100.135159
           2023-04-24 17:06:00,14.687,9.783,99.330154
           2023-04-24 17:16:00,14.636,9.754,98.925933
           2023-04-24 17:26:00,14.713,9.726,98.807226
           2023-04-24 17:36:00,14.687,9.83,99.807361
           2023-04-24 17:46:00,14.722,9.79,99.476856
           2023-04-24 17:56:00,14.756,9.77,99.346964
           2023-04-24 18:06:00,14.808,9.73,99.051935
           2023-04-24 18:16:00,14.739,9.814,99.75755
           2023-04-24 18:26:00,14.705,9.785,99.389334
           2023-04-24 18:36:00,14.653,9.674,98.150854
           2023-04-24 18:46:00,14.636,9.679,98.165276
           2023-04-24 18:56:00,14.731,9.65,98.073478
           2023-04-24 19:06:00,14.722,9.664,98.196562
           2023-04-24 19:16:00,14.731,9.723,98.815381
           2023-04-24 19:26:00,14.756,9.655,98.177578
           2023-04-24 19:36:00,14.696,9.678,98.283277
           2023-04-24 19:46:00,14.713,9.666,98.197682
           2023-04-24 19:56:00,14.696,9.67,98.202034
           2023-04-24 20:06:00,14.679,9.677,98.236815
           2023-04-24 20:16:00,14.661,9.659,98.015718
           2023-04-24 20:26:00,14.636,9.672,98.094281
           2023-04-24 20:36:00,14.592,9.671,97.990258
           2023-04-24 20:46:00,14.584,9.676,98.023844
           2023-04-24 20:56:00,14.558,9.683,98.039226
           2023-04-24 21:06:00,14.541,9.683,98.00292
           2023-04-24 21:16:00,14.515,9.691,98.028321
           2023-04-24 21:26:00,14.497,9.683,97.908964
           2023-04-24 21:36:00,14.489,9.683,97.891883
           2023-04-24 21:46:00,14.454,9.691,97.897978
           2023-04-24 21:56:00,14.471,9.705,98.075779
           2023-04-24 22:06:00,14.428,9.752,98.458302
           2023-04-24 22:16:00,14.437,9.751,98.467551
           2023-04-24 22:26:00,14.411,9.751,98.411667
           2023-04-24 22:36:00,14.402,9.757,98.452866
           2023-04-24 22:46:00,14.393,9.837,99.240593
           2023-04-24 22:56:00,14.385,9.841,99.263595
           2023-04-24 23:06:00,14.359,9.848,99.277776
           2023-04-24 23:16:00,14.341,9.919,99.954186
           2023-04-24 23:26:00,14.307,9.916,99.849673
           2023-04-24 23:36:00,14.298,9.872,99.387039
           2023-04-24 23:46:00,14.289,9.877,99.417795
           2023-04-24 23:56:00,14.246,9.884,99.394638
           2023-04-25 00:06:00,14.211,9.894,99.418937
           2023-04-25 00:16:00,14.211,9.904,99.519421
           2023-04-25 00:26:00,14.203,9.882,99.280947
           2023-04-25 00:36:00,14.211,9.822,98.695451
           2023-04-25 00:46:00,14.185,9.815,98.568921
           2023-04-25 00:56:00,14.185,9.767,98.086872
           2023-04-25 01:06:00,14.142,9.728,97.603114
           2023-04-25 01:16:00,14.125,9.673,97.01509
           2023-04-25 01:26:00,14.116,9.631,96.574773
           2023-04-25 01:36:00,14.09,9.656,96.770204
           2023-04-25 01:46:00,14.064,9.612,96.274248
           2023-04-25 01:56:00,14.064,9.591,96.063911
           2023-04-25 02:06:00,14.02,9.542,95.480745
           2023-04-25 02:16:00,14.029,9.466,94.739005
           2023-04-25 02:26:00,14.012,9.473,94.773633
           2023-04-25 02:36:00,13.977,9.467,94.640715
           2023-04-25 02:46:00,13.968,9.439,94.342116
           2023-04-25 02:56:00,13.934,9.431,94.191633
           2023-04-25 03:06:00,13.907,9.44,94.22547
           2023-04-25 03:16:00,13.899,9.433,94.139006
           2023-04-25 03:26:00,13.899,9.401,93.819654
           2023-04-25 03:36:00,13.899,9.393,93.739816
           2023-04-25 03:46:00,13.847,9.351,93.213762
           2023-04-25 03:56:00,13.855,9.275,92.472481
           2023-04-25 04:06:00,13.838,9.297,92.657079
           2023-04-25 04:16:00,13.82,9.234,91.992665
           2023-04-25 04:26:00,13.812,9.254,92.175641
           2023-04-25 04:36:00,13.768,9.301,92.553852
           2023-04-25 04:46:00,13.768,9.201,91.558756
           2023-04-25 04:56:00,13.759,9.215,91.679845
           2023-04-25 05:06:00,13.725,9.205,91.511591
           2023-04-25 05:16:00,13.707,9.219,91.614316
           2023-04-25 05:26:00,13.698,9.178,91.188731
           2023-04-25 05:36:00,13.664,9.213,91.467672
           2023-04-25 05:46:00,13.664,9.173,91.070547
           2023-04-25 05:56:00,13.629,9.148,90.752028
           2023-04-25 06:06:00,13.602,9.16,90.816766
           2023-04-25 06:16:00,13.585,9.214,91.317757
           2023-04-25 06:26:00,13.568,9.217,91.31309
           2023-04-25 06:36:00,13.559,9.229,91.41374
           2023-04-25 06:46:00,13.55,9.138,90.494326
           2023-04-25 06:56:00,13.515,9.171,90.750673
           2023-04-25 07:06:00,13.506,9.181,90.831493
           2023-04-25 07:16:00,13.489,9.189,90.876358
           2023-04-25 07:26:00,13.48,9.126,90.235284
           2023-04-25 07:36:00,13.48,9.127,90.245171
           2023-04-25 07:46:00,13.445,9.079,89.700837
           2023-04-25 07:56:00,13.445,9.205,90.945721
           2023-04-25 08:06:00,13.436,9.182,90.70035
           2023-04-25 08:16:00,13.419,9.209,90.932713
           2023-04-25 08:26:00,13.401,9.215,90.955573
           2023-04-25 08:36:00,13.401,9.203,90.837128
           2023-04-25 08:46:00,13.401,9.199,90.797647
           2023-04-25 08:56:00,13.41,9.201,90.835552
           2023-04-25 09:06:00,13.393,9.243,91.215724
           2023-04-25 09:16:00,13.393,9.144,90.23873
           2023-04-25 09:26:00,13.384,9.083,89.618813
           2023-04-25 09:36:00,13.358,9.206,90.779915
           2023-04-25 09:46:00,13.393,9.241,91.195987
           2023-04-25 09:56:00,13.401,9.305,91.843907
           2023-04-25 10:06:00,13.428,9.329,92.136052
           2023-04-25 10:16:00,13.419,9.329,92.117632
           2023-04-25 10:26:00,13.463,9.306,91.980358
           2023-04-25 10:36:00,13.48,9.308,92.034848
           2023-04-25 10:46:00,13.48,9.335,92.301816
           2023-04-25 10:56:00,13.48,9.34,92.351255
           2023-04-25 11:06:00,13.489,9.34,92.369701
           2023-04-25 11:16:00,13.506,9.355,92.552948
           2023-04-25 11:26:00,13.498,9.354,92.526632
           2023-04-25 11:36:00,13.533,9.387,92.925164
           2023-04-25 11:46:00,13.576,9.368,92.825504
           2023-04-25 11:56:00,13.559,9.419,93.2957
           2023-04-25 12:06:00,13.568,9.407,93.195425
           2023-04-25 12:16:00,13.533,9.432,93.370635
           2023-04-25 12:26:00,13.559,9.49,93.998959
           2023-04-25 12:36:00,13.55,9.452,93.603893
           2023-04-25 12:46:00,13.55,9.526,94.336721
           2023-04-25 12:56:00,13.576,9.542,94.549633
           2023-04-25 13:06:00,13.602,9.604,95.218801
           2023-04-25 13:16:00,13.629,9.641,95.642796
           2023-04-25 13:26:00,13.637,9.711,96.354286
           2023-04-25 13:36:00,13.646,9.625,95.520003
           2023-04-25 13:46:00,13.672,9.7,96.319705
           2023-04-25 13:56:00,13.698,9.52,94.586698
           2023-04-25 14:06:00,13.707,9.473,94.138455
           2023-04-25 14:16:00,13.751,9.468,94.180294
           2023-04-25 14:26:00,13.82,9.51,94.742283
           2023-04-25 14:36:00,13.838,9.568,95.357958
           2023-04-25 14:46:00,13.925,9.824,98.097256
           2023-04-25 14:56:00,13.864,9.763,97.357196
           2023-04-25 15:06:00,13.881,9.734,97.104388
           2023-04-25 15:16:00,13.942,9.796,97.854287
           2023-04-25 15:26:00,13.934,9.535,95.230327
           2023-04-25 15:36:00,13.951,9.561,95.525747
           2023-04-25 15:46:00,13.986,9.706,97.049191
           2023-04-25 15:56:00,13.977,9.694,96.910013
           2023-04-25 16:06:00,13.986,9.686,96.849213
           2023-04-25 16:16:00,14.038,9.689,96.990052
           2023-04-25 16:26:00,14.081,9.71,97.292147
           2023-04-25 16:36:00,14.064,9.92,99.359191
           2023-04-25 16:46:00,14.064,9.756,97.716559
           2023-04-25 16:56:00,14.081,9.712,97.312186
           2023-04-25 17:06:00,14.055,9.593,96.064945
           2023-04-25 17:16:00,14.012,9.601,96.054222
           2023-04-25 17:26:00,14.02,9.611,96.171184
           2023-04-25 17:36:00,14.073,9.631,96.483627
           2023-04-25 17:46:00,14.116,9.584,96.10348
           2023-04-25 17:56:00,14.133,9.589,96.1895
           2023-04-25 18:06:00,14.125,9.677,97.055208
           2023-04-25 18:16:00,14.142,9.81,98.425838
           2023-04-25 18:26:00,14.142,9.842,98.746901
           2023-04-25 18:36:00,14.125,10.385,104.156074
           2023-04-25 18:46:00,14.107,10.166,101.919342
           2023-04-25 18:56:00,14.116,10.191,102.190168
           2023-04-25 19:06:00,14.133,10.128,101.596335
           2023-04-25 19:16:00,14.133,10.071,101.024555
           2023-04-25 19:26:00,14.168,10.003,100.419505
           2023-04-25 19:36:00,14.177,10.078,101.192395
           2023-04-25 19:46:00,14.177,10.092,101.332968
           2023-04-25 19:56:00,14.185,10.266,103.098171
           2023-04-25 20:06:00,14.133,10.244,102.759958
           2023-04-25 20:16:00,14.211,9.976,100.242906
           2023-04-25 20:26:00,14.203,10.082,101.290276
           2023-04-25 20:36:00,14.194,10.096,101.410922
           2023-04-25 20:46:00,14.177,10.085,101.262681
           2023-04-25 20:56:00,14.151,10.172,102.078015
           2023-04-25 21:06:00,14.107,10.124,101.498271
           2023-04-25 21:16:00,14.064,10.101,101.172095
           2023-04-25 21:26:00,14.055,10.096,101.10202
           2023-04-25 21:36:00,14.02,10.055,100.61401
           2023-04-25 21:46:00,13.968,10.058,100.528975
           2023-04-25 21:56:00,13.942,10.06,100.491438
           2023-04-25 22:06:00,13.934,10.038,100.254014
           2023-04-25 22:16:00,13.881,10.053,100.286666
           2023-04-25 22:26:00,13.855,10.06,100.298993
           2023-04-25 22:36:00,13.855,10.053,100.229202
           2023-04-25 22:46:00,13.838,10.049,100.151768
           2023-04-25 22:56:00,13.812,10.046,100.064457
           2023-04-25 23:06:00,13.786,10.048,100.026962
           2023-04-25 23:16:00,13.768,10.066,100.166334
           2023-04-25 23:26:00,13.751,10.063,100.098891
           2023-04-25 23:36:00,13.733,10.057,99.999433
           2023-04-25 23:46:00,13.698,10.099,100.339398
           2023-04-25 23:56:00,13.698,10.08,100.150622
           2023-04-26 00:06:00,13.681,10.074,100.05339
           2023-04-26 00:16:00,13.637,10.069,99.906427
           2023-04-26 00:26:00,13.637,10.009,99.311096
           2023-04-26 00:36:00,13.611,10.006,99.224201
           2023-04-26 00:46:00,13.568,9.983,98.901874
           2023-04-26 00:56:00,13.559,9.906,98.119461
           2023-04-26 01:06:00,13.55,9.928,98.317758
           2023-04-26 01:16:00,13.524,9.882,97.80582
