datetime,temp_c,do_mgl,do_perc
           2023-04-27 14:03:00,11.715,7.38,71.039586
           2023-04-27 14:13:00,11.608,7.441,71.451303
           2023-04-27 14:23:00,11.706,7.573,72.882372
           2023-04-27 14:33:00,11.662,7.477,71.885958
           2023-04-27 14:43:00,11.662,7.635,73.405014
           2023-04-27 14:53:00,11.679,7.445,71.606195
           2023-04-27 15:03:00,11.742,7.563,72.846155
           2023-04-27 15:13:00,11.795,7.544,72.751315
           2023-04-27 15:23:00,11.876,7.554,72.982723
           2023-04-27 15:33:00,11.965,7.521,72.811614
           2023-04-27 15:43:00,11.849,7.686,74.212253
           2023-04-27 15:53:00,11.849,7.764,74.965383
           2023-04-27 16:03:00,11.795,7.778,75.007918
           2023-04-27 16:13:00,11.893,7.791,75.301714
           2023-04-27 16:23:00,11.849,7.84,75.699202
           2023-04-27 16:33:00,11.813,7.828,75.521174
           2023-04-27 16:43:00,11.884,7.892,76.262229
           2023-04-27 16:53:00,11.92,7.895,76.353935
           2023-04-27 17:03:00,11.858,7.968,76.950927
           2023-04-27 17:13:00,11.929,8.077,78.130132
           2023-04-27 17:23:00,12.071,7.979,77.432307
           2023-04-27 17:33:00,12.053,8.237,79.903327
           2023-04-27 17:43:00,11.956,7.747,74.984154
           2023-04-27 17:53:00,11.947,8.107,78.452534
           2023-04-27 18:03:00,11.938,8.234,79.665174
           2023-04-27 18:13:00,12.071,8.229,79.858435
           2023-04-27 18:23:00,12.062,8.293,80.46304
           2023-04-27 18:33:00,12.036,8.456,81.996
           2023-04-27 18:43:00,12.036,8.324,80.716024
           2023-04-27 18:53:00,12.107,8.464,82.206298
           2023-04-27 19:03:00,12.204,8.332,81.102831
           2023-04-27 19:13:00,12.16,8.436,82.033129
           2023-04-27 19:23:00,12.062,8.404,81.54002
           2023-04-27 19:33:00,12.036,8.445,81.889335
           2023-04-27 19:43:00,12.027,8.487,82.279734
           2023-04-27 19:53:00,12.053,8.497,82.425466
           2023-04-27 20:03:00,12.018,8.34,80.838025
           2023-04-27 20:13:00,12.009,8.252,79.96866
           2023-04-27 20:23:00,12.009,8.442,81.809916
           2023-04-27 20:33:00,12.027,8.415,81.581708
           2023-04-27 20:43:00,12.036,8.415,81.598432
           2023-04-27 20:53:00,12.027,8.272,80.195353
           2023-04-27 21:03:00,12.018,8.275,80.207993
           2023-04-27 21:13:00,12.027,8.238,79.865729
           2023-04-27 21:23:00,12.009,8.299,80.424129
           2023-04-27 21:33:00,12.045,8.289,80.393111
           2023-04-27 21:43:00,12.08,8.143,79.040033
           2023-04-27 21:53:00,12.062,8.275,80.288394
           2023-04-27 22:03:00,12.036,8.283,80.318456
           2023-04-27 22:13:00,12.045,8.265,80.16034
           2023-04-27 22:23:00,12.107,8.15,79.156585
           2023-04-27 22:33:00,12.107,8.111,78.777798
           2023-04-27 22:43:00,12.053,8.176,79.311594
           2023-04-27 22:53:00,12.045,8.219,79.714197
           2023-04-27 23:03:00,12.062,8.178,79.347249
           2023-04-27 23:13:00,12.08,8.16,79.205044
           2023-04-27 23:23:00,12.116,8.121,78.891069
           2023-04-27 23:33:00,12.169,8.044,78.23725
           2023-04-27 23:43:00,12.116,7.227,70.206348
           2023-04-27 23:53:00,12.089,7.688,74.638858
           2023-04-28 00:03:00,12.124,7.808,75.864244
           2023-04-28 00:13:00,12.062,8.088,78.474022
           2023-04-28 00:23:00,12.08,7.613,73.895588
           2023-04-28 00:33:00,12.036,7.8,75.63491
           2023-04-28 00:43:00,12.009,7.84,75.976042
           2023-04-28 00:53:00,12.009,7.834,75.917897
           2023-04-28 01:03:00,11.965,7.839,75.890206
           2023-04-28 01:13:00,11.947,7.746,74.959088
           2023-04-28 01:23:00,11.92,7.62,73.694362
           2023-04-28 01:33:00,11.929,7.508,72.626103
           2023-04-28 01:43:00,11.884,7.456,72.049059
           2023-04-28 01:53:00,11.876,7.563,73.069676
           2023-04-28 02:03:00,11.813,7.647,73.774964
           2023-04-28 02:13:00,11.804,7.674,74.020215
           2023-04-28 02:23:00,11.795,7.626,73.542091
           2023-04-28 02:33:00,11.769,7.05,67.946955
           2023-04-28 02:43:00,11.751,7.153,68.911265
           2023-04-28 02:53:00,11.706,7.249,69.764203
           2023-04-28 03:03:00,11.706,7.376,70.986448
           2023-04-28 03:13:00,11.688,7.458,71.746024
           2023-04-28 03:23:00,11.679,7.436,71.519633
           2023-04-28 03:33:00,11.662,7.434,71.472544
           2023-04-28 03:43:00,11.617,7.331,70.409578
           2023-04-28 03:53:00,11.617,7.346,70.553644
           2023-04-28 04:03:00,11.581,7.253,69.602913
           2023-04-28 04:13:00,11.572,7.235,69.415834
           2023-04-28 04:23:00,11.563,7.276,69.794782
           2023-04-28 04:33:00,11.527,7.28,69.775429
           2023-04-28 04:43:00,11.501,7.279,69.724169
           2023-04-28 04:53:00,11.501,7.265,69.590066
           2023-04-28 05:03:00,11.492,7.249,69.422439
           2023-04-28 05:13:00,11.465,7.215,69.053937
           2023-04-28 05:23:00,11.402,7.192,68.734073
           2023-04-28 05:33:00,11.429,7.205,68.90113
           2023-04-28 05:43:00,11.366,7.201,68.76304
           2023-04-28 05:53:00,11.375,7.172,68.500319
           2023-04-28 06:03:00,11.375,7.079,67.612069
           2023-04-28 06:13:00,11.339,6.986,66.668484
           2023-04-28 06:23:00,11.339,7.036,67.145641
           2023-04-28 06:33:00,11.321,6.758,64.465883
           2023-04-28 06:43:00,11.321,6.884,65.667822
           2023-04-28 06:53:00,11.294,6.939,66.151266
           2023-04-28 07:03:00,11.312,6.84,65.234555
           2023-04-28 07:13:00,11.286,6.567,62.59334
           2023-04-28 07:23:00,11.303,6.696,63.84794
           2023-04-28 07:33:00,11.277,6.92,65.944261
           2023-04-28 07:43:00,11.277,6.856,65.334372
           2023-04-28 07:53:00,11.277,6.9,65.75367
           2023-04-28 08:03:00,11.286,6.931,66.062805
           2023-04-28 08:13:00,11.303,6.91,65.888481
           2023-04-28 08:23:00,11.303,6.829,65.116127
           2023-04-28 08:33:00,11.312,6.704,63.937494
           2023-04-28 08:43:00,11.321,6.649,63.426111
           2023-04-28 08:53:00,11.339,6.553,62.536297
           2023-04-28 09:03:00,11.33,6.405,61.111228
           2023-04-28 09:13:00,11.33,6.502,62.036722
           2023-04-28 09:23:00,11.366,6.725,64.21767
           2023-04-28 09:33:00,11.357,6.968,66.524302
           2023-04-28 09:43:00,11.366,6.831,65.229874
           2023-04-28 09:53:00,11.375,6.507,62.148853
           2023-04-28 10:03:00,11.384,6.059,57.881971
           2023-04-28 10:13:00,11.402,6.014,57.475906
           2023-04-28 10:23:00,11.429,6.052,57.875037
           2023-04-28 10:33:00,11.447,6.242,59.716731
           2023-04-28 10:43:00,11.483,6.206,59.421508
           2023-04-28 10:53:00,11.51,6.299,60.349417
           2023-04-28 11:03:00,11.519,6.298,60.352318
           2023-04-28 11:13:00,11.572,6.483,62.200808
           2023-04-28 11:23:00,11.572,6.495,62.315942
           2023-04-28 11:33:00,11.608,6.509,62.501886
           2023-04-28 11:43:00,11.626,6.349,60.990685
           2023-04-28 11:53:00,11.662,6.47,62.20438
           2023-04-28 12:03:00,11.67,6.518,62.677357
           2023-04-28 12:13:00,11.733,6.557,63.14344
           2023-04-28 12:23:00,11.751,6.531,62.918981
           2023-04-28 12:33:00,11.769,6.665,64.236377
           2023-04-28 12:43:00,11.795,6.647,64.101007
           2023-04-28 12:53:00,11.769,6.636,63.956879
           2023-04-28 13:03:00,11.804,6.673,64.364985
           2023-04-28 13:13:00,11.795,6.663,64.255304
           2023-04-28 13:23:00,11.822,6.702,64.671315
           2023-04-28 13:33:00,11.84,6.793,65.576396
           2023-04-28 13:43:00,11.884,6.841,66.106172
           2023-04-28 13:53:00,11.876,6.778,65.485424
           2023-04-28 14:03:00,11.902,6.876,66.471695
           2023-04-28 14:13:00,11.947,6.923,66.994806
           2023-04-28 14:23:00,11.911,6.941,67.113848
           2023-04-28 14:33:00,11.965,7.017,67.932336
           2023-04-28 14:43:00,11.947,7.07,68.417345
           2023-04-28 14:53:00,11.911,7.044,68.109774
           2023-04-28 15:03:00,11.947,7.112,68.823784
           2023-04-28 15:13:00,11.911,7.074,68.39985
           2023-04-28 15:23:00,11.929,7.139,69.056706
           2023-04-28 15:33:00,12.018,7.257,70.340713
           2023-04-28 15:43:00,12.009,7.339,71.12094
           2023-04-28 15:53:00,12.036,7.617,73.860399
           2023-04-28 16:03:00,12.036,7.447,72.211945
           2023-04-28 16:13:00,12.045,7.6,73.710658
           2023-04-28 16:23:00,12.053,7.656,74.267314
           2023-04-28 16:33:00,12.018,7.519,72.880229
           2023-04-28 16:43:00,12.036,7.546,73.171927
           2023-04-28 16:53:00,12.071,7.631,74.055136
           2023-04-28 17:03:00,11.991,7.506,72.709478
           2023-04-28 17:13:00,12.027,7.639,74.058547
           2023-04-28 17:23:00,12.116,7.671,74.519565
           2023-04-28 17:33:00,12.107,7.691,74.698563
           2023-04-28 17:43:00,12.142,7.764,75.467606
           2023-04-28 17:53:00,12.124,7.727,75.077231
           2023-04-28 18:03:00,12.116,7.716,74.956716
           2023-04-28 18:13:00,12.133,7.614,73.994437
           2023-04-28 18:23:00,12.151,7.595,73.839996
           2023-04-28 18:33:00,12.169,7.718,75.066521
           2023-04-28 18:43:00,12.16,7.663,74.516343
           2023-04-28 18:53:00,12.124,7.711,74.921771
           2023-04-28 19:03:00,12.16,7.685,74.730275
           2023-04-28 19:13:00,12.178,7.696,74.867852
           2023-04-28 19:23:00,12.195,7.711,75.042743
           2023-04-28 19:33:00,12.231,4.039,39.339314
           2023-04-28 19:43:00,12.178,4.79,46.597844
           2023-04-28 19:53:00,12.16,5.048,49.087629
           2023-04-28 20:03:00,12.16,5.693,55.359721
           2023-04-28 20:13:00,12.195,6.168,60.026409
           2023-04-28 20:23:00,12.213,6.79,66.106668
           2023-04-28 20:33:00,12.195,6.956,67.695152
           2023-04-28 20:43:00,12.124,6.957,67.595741
           2023-04-28 20:53:00,12.116,7.122,69.186331
           2023-04-28 21:03:00,12.133,7.271,70.661092
           2023-04-28 21:13:00,12.116,7.415,72.032665
           2023-04-28 21:23:00,12.107,7.415,72.017923
           2023-04-28 21:33:00,12.053,7.328,71.085538
           2023-04-28 21:43:00,12.053,7.462,72.38541
           2023-04-28 21:53:00,12.045,7.456,72.314035
           2023-04-28 22:03:00,12.036,7.571,73.414347
           2023-04-28 22:13:00,12.027,7.6,73.68045
           2023-04-28 22:23:00,12.009,7.59,73.553336
           2023-04-28 22:33:00,12.018,7.605,73.713811
           2023-04-28 22:43:00,12,7.576,73.402611
           2023-04-28 22:53:00,11.965,7.573,73.315032
           2023-04-28 23:03:00,11.973,7.306,70.743078
           2023-04-28 23:13:00,11.947,7.393,71.543059
           2023-04-28 23:23:00,11.947,7.433,71.930145
           2023-04-28 23:33:00,11.92,7.435,71.905194
           2023-04-28 23:43:00,11.902,7.398,71.517975
           2023-04-28 23:53:00,11.893,7.411,71.628931
           2023-04-29 00:03:00,11.876,7.437,71.852331
           2023-04-29 00:13:00,11.876,7.422,71.707409
           2023-04-29 00:23:00,11.849,7.415,71.59561
           2023-04-29 00:33:00,11.822,7.368,71.097918
           2023-04-29 00:43:00,11.778,6.892,66.43785
           2023-04-29 00:53:00,11.786,7.109,68.54224
           2023-04-29 01:03:00,11.778,7.247,69.859997
           2023-04-29 01:13:00,11.751,7.208,69.441129
           2023-04-29 01:23:00,11.724,7.149,68.830173
           2023-04-29 01:33:00,11.715,7.236,69.653448
           2023-04-29 01:43:00,11.688,7.276,69.995182
           2023-04-29 01:53:00,11.679,7.225,69.49023
           2023-04-29 02:03:00,11.662,7.202,69.242031
           2023-04-29 02:13:00,11.644,7.227,69.453721
           2023-04-29 02:23:00,11.626,7.216,69.319386
           2023-04-29 02:33:00,11.617,7.12,68.383058
           2023-04-29 02:43:00,11.59,7.137,68.503877
           2023-04-29 02:53:00,11.563,7.1,68.106508
           2023-04-29 03:03:00,11.563,7.152,68.605316
           2023-04-29 03:13:00,11.563,7.053,67.655662
           2023-04-29 03:23:00,11.501,7.066,67.683882
           2023-04-29 03:33:00,11.501,6.923,66.314112
           2023-04-29 03:43:00,11.492,6.941,66.472776
           2023-04-29 03:53:00,11.501,6.89,65.998011
           2023-04-29 04:03:00,11.492,6.892,66.003511
           2023-04-29 04:13:00,11.456,6.85,65.546992
           2023-04-29 04:23:00,11.447,6.867,65.696058
           2023-04-29 04:33:00,11.429,6.792,64.951628
           2023-04-29 04:43:00,11.42,6.727,64.31671
           2023-04-29 04:53:00,11.42,6.289,60.129
           2023-04-29 05:03:00,11.393,6.398,61.133129
           2023-04-29 05:13:00,11.384,6.31,60.279788
           2023-04-29 05:23:00,11.375,6.428,61.394318
           2023-04-29 05:33:00,11.339,6.393,61.009392
           2023-04-29 05:43:00,11.339,6.312,60.236397
           2023-04-29 05:53:00,11.339,6.379,60.875788
           2023-04-29 06:03:00,11.312,6.32,60.275203
           2023-04-29 06:13:00,11.294,6.398,60.993775
           2023-04-29 06:23:00,11.294,6.367,60.698244
           2023-04-29 06:33:00,11.277,6.387,60.865028
           2023-04-29 06:43:00,11.259,6.367,60.649233
           2023-04-29 06:53:00,11.268,6.287,59.899632
           2023-04-29 07:03:00,11.259,5.4,51.438018
           2023-04-29 07:13:00,11.25,5.605,53.379665
           2023-04-29 07:23:00,11.25,5.861,55.817701
           2023-04-29 07:33:00,11.25,5.89,56.093885
           2023-04-29 07:43:00,11.223,5.937,56.506246
           2023-04-29 07:53:00,11.223,6.205,59.056974
           2023-04-29 08:03:00,11.223,6.247,59.456715
           2023-04-29 08:13:00,11.205,6.399,60.878074
           2023-04-29 08:23:00,11.214,6.39,60.805094
           2023-04-29 08:33:00,11.187,6.343,60.320208
           2023-04-29 08:43:00,11.187,6.401,60.871772
           2023-04-29 08:53:00,11.205,6.401,60.897101
           2023-04-29 09:03:00,11.178,6.493,61.733822
           2023-04-29 09:13:00,11.196,6.442,61.274417
           2023-04-29 09:23:00,11.196,6.328,60.190082
           2023-04-29 09:33:00,11.214,6.601,62.812899
           2023-04-29 09:43:00,11.25,6.572,62.588966
           2023-04-29 09:53:00,11.223,6.722,63.977596
           2023-04-29 10:03:00,11.241,6.739,64.166067
           2023-04-29 10:13:00,11.259,6.833,65.088144
           2023-04-29 10:23:00,11.286,6.87,65.481383
           2023-04-29 10:33:00,11.286,6.895,65.719671
           2023-04-29 10:43:00,11.303,6.57,62.646501
           2023-04-29 10:53:00,11.348,6.556,62.577908
           2023-04-29 11:03:00,11.339,6.515,62.173657
           2023-04-29 11:13:00,11.33,6.552,62.513781
           2023-04-29 11:23:00,11.33,6.602,62.99084
           2023-04-29 11:33:00,11.339,6.691,63.853253
           2023-04-29 11:43:00,11.357,6.783,64.758085
           2023-04-29 11:53:00,11.357,6.754,64.481219
           2023-04-29 12:03:00,11.42,6.75,64.536612
           2023-04-29 12:13:00,11.402,6.817,65.150191
           2023-04-29 12:23:00,11.438,6.678,63.87468
           2023-04-29 12:33:00,11.447,6.778,64.844602
           2023-04-29 12:43:00,11.465,6.835,65.417001
           2023-04-29 12:53:00,11.492,6.812,65.237365
           2023-04-29 13:03:00,11.438,6.642,63.530342
           2023-04-29 13:13:00,11.474,6.742,64.540267
           2023-04-29 13:23:00,11.483,6.787,64.984495
           2023-04-29 13:33:00,11.51,6.638,63.597306
           2023-04-29 13:43:00,11.51,6.678,63.980538
           2023-04-29 13:53:00,11.554,6.774,64.965935
           2023-04-29 14:03:00,11.563,6.953,66.696415
           2023-04-29 14:13:00,11.536,7.051,67.594546
           2023-04-29 14:23:00,11.545,7.113,68.203009
           2023-04-29 14:33:00,11.563,7.154,68.624501
           2023-04-29 14:43:00,11.608,7.235,69.473213
           2023-04-29 14:53:00,11.617,7.252,69.650834
           2023-04-29 15:03:00,11.644,7.301,70.164884
           2023-04-29 15:13:00,11.653,7.33,70.458121
           2023-04-29 15:23:00,11.662,7.189,69.117046
           2023-04-29 15:33:00,11.626,6.513,62.566126
           2023-04-29 15:43:00,11.662,7.075,68.021018
           2023-04-29 15:53:00,11.67,7.348,70.658671
           2023-04-29 16:03:00,11.688,6.838,65.781618
           2023-04-29 16:13:00,11.688,7.235,69.600762
           2023-04-29 16:23:00,11.679,7.355,70.740573
           2023-04-29 16:33:00,11.662,7.396,71.107201
           2023-04-29 16:43:00,11.662,7.392,71.068744
           2023-04-29 16:53:00,11.679,7.396,71.134912
           2023-04-29 17:03:00,11.688,6.427,61.827795
           2023-04-29 17:13:00,11.67,6.737,64.78327
           2023-04-29 17:23:00,11.67,6.993,67.244977
           2023-04-29 17:33:00,11.679,7.142,68.691934
           2023-04-29 17:43:00,11.697,7.277,70.019238
           2023-04-29 17:53:00,11.679,7.38,70.981023
           2023-04-29 18:03:00,11.706,7.438,71.583135
           2023-04-29 18:13:00,11.778,7.486,72.163922
           2023-04-29 18:23:00,11.742,7.492,72.162289
           2023-04-29 18:33:00,11.733,7.445,71.694817
           2023-04-29 18:43:00,11.697,7.415,71.347073
           2023-04-29 18:53:00,11.679,7.495,72.087096
           2023-04-29 19:03:00,11.706,7.552,72.680268
           2023-04-29 19:13:00,11.688,7.473,71.890324
           2023-04-29 19:23:00,11.724,7.553,72.719863
           2023-04-29 19:33:00,11.751,7.505,72.302397
           2023-04-29 19:43:00,11.769,7.584,73.093575
           2023-04-29 19:53:00,11.769,7.587,73.122489
           2023-04-29 20:03:00,11.76,7.4,71.305523
           2023-04-29 20:13:00,11.778,7.453,71.845806
           2023-04-29 20:23:00,11.724,7.287,70.15883
           2023-04-29 20:33:00,11.715,7.259,69.874845
           2023-04-29 20:43:00,11.706,7.168,68.984661
           2023-04-29 20:53:00,11.76,7.295,70.293755
           2023-04-29 21:03:00,11.706,7.251,69.783451
           2023-04-29 21:13:00,11.76,7.341,70.737006
           2023-04-29 21:23:00,11.724,7.308,70.361016
           2023-04-29 21:33:00,11.724,7.389,71.14088
           2023-04-29 21:43:00,11.733,7.356,70.837753
           2023-04-29 21:53:00,11.742,7.429,71.555479
           2023-04-29 22:03:00,11.733,7.391,71.174801
           2023-04-29 22:13:00,11.76,7.38,71.112805
           2023-04-29 22:23:00,11.786,7.41,71.444366
           2023-04-29 22:33:00,11.742,7.318,70.486337
           2023-04-29 22:43:00,11.733,7.325,70.539225
           2023-04-29 22:53:00,11.724,7.284,70.129946
           2023-04-29 23:03:00,11.706,7.326,70.50525
           2023-04-29 23:13:00,11.715,7.316,70.423525
           2023-04-29 23:23:00,11.697,7.356,70.779376
           2023-04-29 23:33:00,11.67,7.236,69.581675
           2023-04-29 23:43:00,11.679,7.22,69.442139
           2023-04-29 23:53:00,11.697,7.321,70.442606
           2023-04-30 00:03:00,11.697,7.286,70.105836
           2023-04-30 00:13:00,11.662,7.246,69.66506
           2023-04-30 00:23:00,11.662,7.197,69.19396
           2023-04-30 00:33:00,11.662,7.207,69.290103
           2023-04-30 00:43:00,11.626,7.098,68.185837
           2023-04-30 00:53:00,11.635,7.102,68.238347
           2023-04-30 01:03:00,11.617,6.987,67.105678
           2023-04-30 01:13:00,11.608,6.942,66.659716
           2023-04-30 01:23:00,11.608,6.896,66.218006
           2023-04-30 01:33:00,11.626,6.794,65.265509
           2023-04-30 01:43:00,11.626,6.727,64.621883
           2023-04-30 01:53:00,11.635,6.771,65.05799
           2023-04-30 02:03:00,11.608,6.799,65.286576
           2023-04-30 02:13:00,11.635,6.365,61.157009
           2023-04-30 02:23:00,11.626,6.484,62.287542
           2023-04-30 02:33:00,11.644,6.599,63.418445
           2023-04-30 02:43:00,11.635,6.624,63.645566
           2023-04-30 02:53:00,11.626,6.602,63.42109
           2023-04-30 03:03:00,11.635,6.622,63.626349
           2023-04-30 03:13:00,11.626,6.558,62.998411
           2023-04-30 03:23:00,11.617,6.694,64.2916
           2023-04-30 03:33:00,11.608,6.693,64.268723
           2023-04-30 03:43:00,11.599,6.487,62.277771
           2023-04-30 03:53:00,11.599,6.59,63.266611
           2023-04-30 04:03:00,11.581,6.587,63.21169
           2023-04-30 04:13:00,11.581,6.693,64.228912
           2023-04-30 04:23:00,11.563,6.749,64.739552
           2023-04-30 04:33:00,11.572,6.801,65.251843
           2023-04-30 04:43:00,11.554,6.772,64.946754
           2023-04-30 04:53:00,11.545,6.705,64.290901
           2023-04-30 05:03:00,11.545,6.749,64.712795
           2023-04-30 05:13:00,11.545,6.541,62.718387
           2023-04-30 05:23:00,11.545,6.298,60.388381
           2023-04-30 05:33:00,11.536,6.332,60.701839
           2023-04-30 05:43:00,11.519,6.492,62.211377
           2023-04-30 05:53:00,11.51,6.552,62.773358
           2023-04-30 06:03:00,11.501,6.438,61.668388
           2023-04-30 06:13:00,11.501,6.544,62.683742
           2023-04-30 06:23:00,11.483,6.531,62.533333
           2023-04-30 06:33:00,11.474,6.593,63.11391
           2023-04-30 06:43:00,11.465,6.5,62.210754
