datetime,temp_c,do_mgl,do_perc
           2023-06-27 14:15:00,25.687,7.235,90.517172
           2023-06-27 14:25:00,25.392,7.295,90.775759
           2023-06-27 14:35:00,25.367,7.365,91.604737
           2023-06-27 14:45:00,25.358,7.392,91.925359
           2023-06-27 14:55:00,25.392,7.393,91.995227
           2023-06-27 15:05:00,25.392,7.387,91.920566
           2023-06-27 15:15:00,25.451,7.433,92.593193
           2023-06-27 15:25:00,25.577,7.48,93.394153
           2023-06-27 15:35:00,25.611,7.542,94.226924
           2023-06-27 15:45:00,25.594,7.519,93.910335
           2023-06-27 15:55:00,25.569,7.489,93.492824
           2023-06-27 16:05:00,25.569,7.48,93.380468
           2023-06-27 16:15:00,25.645,7.52,94.01055
           2023-06-27 16:25:00,25.67,7.566,94.628888
           2023-06-27 16:35:00,25.67,7.576,94.753959
           2023-06-27 16:45:00,25.687,7.576,94.783427
           2023-06-27 16:55:00,25.712,7.587,94.96445
           2023-06-27 17:05:00,25.695,7.649,95.710733
           2023-06-27 17:15:00,25.67,7.671,95.942136
           2023-06-27 17:25:00,25.712,7.684,96.178573
           2023-06-27 17:35:00,25.754,7.706,96.528011
           2023-06-27 17:45:00,25.67,7.659,95.792051
           2023-06-27 17:55:00,25.712,7.715,96.566592
           2023-06-27 18:05:00,25.729,7.143,89.43481
           2023-06-27 18:15:00,25.645,7.182,89.785076
           2023-06-27 18:25:00,25.653,7.44,93.024054
           2023-06-27 18:35:00,25.695,7.505,93.908883
           2023-06-27 18:45:00,25.695,7.571,94.734731
           2023-06-27 18:55:00,25.729,7.326,91.726084
           2023-06-27 19:05:00,25.729,7.409,92.765295
           2023-06-27 19:15:00,25.754,7.488,93.797268
           2023-06-27 19:25:00,25.712,7.516,94.075762
           2023-06-27 19:35:00,25.72,7.513,94.051966
           2023-06-27 19:45:00,25.695,6.918,86.563845
           2023-06-27 19:55:00,25.729,7.003,87.681922
           2023-06-27 20:05:00,25.754,7.166,89.763785
           2023-06-27 20:15:00,25.729,7.24,90.64931
           2023-06-27 20:25:00,25.712,7.36,92.123152
           2023-06-27 20:35:00,25.704,7.462,93.386198
           2023-06-27 20:45:00,25.687,6.952,86.976556
           2023-06-27 20:55:00,25.653,7.067,88.360348
           2023-06-27 21:05:00,25.67,7.372,92.202507
           2023-06-27 21:15:00,25.687,6.667,83.410917
           2023-06-27 21:25:00,25.67,6.809,85.160997
           2023-06-27 21:35:00,25.695,7.073,88.503335
           2023-06-27 21:45:00,25.661,7.188,89.886395
           2023-06-27 21:55:00,25.67,7.311,91.439572
           2023-06-27 22:05:00,25.661,7.361,92.049771
           2023-06-27 22:15:00,25.653,7.452,93.174093
           2023-06-27 22:25:00,25.67,7.49,93.678347
           2023-06-27 22:35:00,25.67,7.526,94.128603
           2023-06-27 22:45:00,25.653,7.527,94.111836
           2023-06-27 22:55:00,25.67,7.521,94.066068
           2023-06-27 23:05:00,25.661,7.516,93.988056
           2023-06-27 23:15:00,25.636,7.448,93.095115
           2023-06-27 23:25:00,25.636,7.341,91.757685
           2023-06-27 23:35:00,25.619,7.264,90.766988
           2023-06-27 23:45:00,25.628,7.381,92.244152
           2023-06-27 23:55:00,25.586,7.397,92.373053
           2023-06-28 00:05:00,25.586,7.323,91.448947
           2023-06-28 00:15:00,25.527,7.276,90.76385
           2023-06-28 00:25:00,25.518,7.049,87.917652
           2023-06-28 00:35:00,25.476,7.189,89.594756
           2023-06-28 00:45:00,25.476,7.169,89.345501
           2023-06-28 00:55:00,25.442,7.207,89.763076
           2023-06-28 01:05:00,25.442,7.189,89.538887
           2023-06-28 01:15:00,25.417,7.173,89.298623
           2023-06-28 01:25:00,25.383,7.152,88.981622
           2023-06-28 01:35:00,25.375,6.965,86.642329
           2023-06-28 01:45:00,25.358,6.951,86.441175
           2023-06-28 01:55:00,25.325,6.062,75.340057
           2023-06-28 02:05:00,25.299,6.348,78.856836
           2023-06-28 02:15:00,25.291,6.516,80.931878
           2023-06-28 02:25:00,25.266,6.544,81.242288
           2023-06-28 02:35:00,25.24,6.71,83.2633
           2023-06-28 02:45:00,25.224,6.691,83.003087
           2023-06-28 02:55:00,25.232,6.582,81.662946
           2023-06-28 03:05:00,25.148,6.682,82.775506
           2023-06-28 03:15:00,25.156,6.796,84.200129
           2023-06-28 03:25:00,25.156,6.754,83.679763
           2023-06-28 03:35:00,25.131,6.829,84.57002
           2023-06-28 03:45:00,25.114,6.726,83.268376
           2023-06-28 03:55:00,25.097,6.811,84.294259
           2023-06-28 04:05:00,25.064,6.632,82.02898
           2023-06-28 04:15:00,25.055,6.699,82.843924
           2023-06-28 04:25:00,25.038,6.736,83.275363
           2023-06-28 04:35:00,24.996,6.687,82.60552
           2023-06-28 04:45:00,25.03,6.708,82.916963
           2023-06-28 04:55:00,24.98,6.703,82.778708
           2023-06-28 05:05:00,24.971,6.709,82.839033
           2023-06-28 05:15:00,24.929,6.693,82.577366
           2023-06-28 05:25:00,24.921,6.656,82.108723
           2023-06-28 05:35:00,24.896,6.652,82.02146
           2023-06-28 05:45:00,24.904,6.629,81.749954
           2023-06-28 05:55:00,24.87,6.636,81.784839
           2023-06-28 06:05:00,24.887,6.624,81.662618
           2023-06-28 06:15:00,24.854,6.612,81.464936
           2023-06-28 06:25:00,24.828,6.553,80.699174
           2023-06-28 06:35:00,24.812,6.466,79.604202
           2023-06-28 06:45:00,24.82,6.443,79.332792
           2023-06-28 06:55:00,24.77,6.23,76.639129
           2023-06-28 07:05:00,24.786,5.712,70.287713
           2023-06-28 07:15:00,24.77,6.261,77.020479
           2023-06-28 07:25:00,24.736,6.314,77.62355
           2023-06-28 07:35:00,24.728,6.275,77.132651
           2023-06-28 07:45:00,24.694,6.334,77.808821
           2023-06-28 07:55:00,24.677,6.345,77.919378
           2023-06-28 08:05:00,24.677,6.304,77.41588
           2023-06-28 08:15:00,24.644,6.294,77.245769
           2023-06-28 08:25:00,24.652,6.305,77.392259
           2023-06-28 08:35:00,24.585,6.326,77.55351
           2023-06-28 08:45:00,24.627,6.303,77.331823
           2023-06-28 08:55:00,24.593,6.287,77.086842
           2023-06-28 09:05:00,24.618,6.311,77.41704
           2023-06-28 09:15:00,24.576,6.293,77.136052
           2023-06-28 09:25:00,24.56,6.268,76.806783
           2023-06-28 09:35:00,24.56,6.315,77.382711
